案件ID,案件名,活動開始月,活動終了月,初期投資金額,運用費,システム利用開始時期,稼働開始日,稼働年度,活動期間月数,プロジェクト規模,プロジェクト規模_英語,推定人月,技術領域,プロジェクト種別,スキル構成比キー,ビジネスケイパビリティ,デリバリケイパビリティ,テクニカルケイパビリティ,リーダーシップケイパビリティ,運用_年間人月,運用_月平均
PRJ0078,DX推進ECサイト導入プロジェクト,2026/10,2028/08,43000,4100,2025/05/20,2025-05-20,2025,23,極小規模,extra_small,18,DX/デジタル,導入,extra_small_導入,0.08,0.12,0.55,0.04,2.46,0.2
PRJ0079,次世代在庫管理システム構築プロジェクト,2024/07,2024/12,33000,3700,2025/04/10,2025-04-10,2025,6,極小規模,extra_small,14,従来型,新規開発,extra_small_新規開発,0.58,0.23,1.4,0.12,2.22,0.19
PRJ0080,新規基幹システム刷新プロジェクト,2026/07,2028/05,99000,7100,2025/02/09,2025-02-09,2025,23,小規模,small,42,従来型,刷新,small_刷新,0.37,0.46,0.91,0.09,4.26,0.35
PRJ0081,AI活用顧客管理システム導入プロジェクト,2024/05,2025/01,65000,12000,2025/11/24,2025-11-24,2025,9,小規模,small,27,AI/ML,導入,small_導入,0.45,0.6,1.8,0.15,7.2,0.6
PRJ0082,AI活用ECサイト構築プロジェクト,2025/02,2025/08,81000,7900,2026/03/09,2026-03-09,2026,7,小規模,small,34,AI/ML,新規開発,small_新規開発,1.46,0.73,2.43,0.24,4.74,0.4
PRJ0083,AI活用顧客管理システム導入プロジェクト,2026/10,2027/04,79000,10000,2025/10/13,2025-10-13,2025,7,小規模,small,33,AI/ML,導入,small_導入,0.71,0.94,2.83,0.24,6.0,0.5
PRJ0084,AI活用基幹システム導入プロジェクト,2024/07,2025/02,81000,13000,2025/05/23,2025-05-23,2025,8,小規模,small,34,AI/ML,導入,small_導入,0.64,0.85,2.55,0.21,7.8,0.65
PRJ0085,統合基幹システム構築プロジェクト,2025/03,2026/01,51000,9100,2026/02/08,2026-02-08,2026,11,小規模,small,21,従来型,新規開発,small_新規開発,0.57,0.29,0.95,0.1,5.46,0.46
PRJ0086,次世代販売管理システム刷新プロジェクト,2024/07,2025/08,93000,10000,2027/10/19,2027-10-19,2027,14,小規模,small,39,従来型,刷新,small_刷新,0.56,0.7,1.39,0.14,6.0,0.5
PRJ0087,AI活用在庫管理システム移行プロジェクト,2025/06,2026/03,34000,4700,2026/08/05,2026-08-05,2026,10,極小規模,extra_small,14,AI/ML,移行,extra_small_移行,0.14,0.42,0.77,0.07,2.82,0.23
PRJ0088,DX推進ECサイト導入プロジェクト,2024/01,2025/04,32000,2300,2026/04/06,2026-04-06,2026,16,極小規模,extra_small,13,DX/デジタル,導入,extra_small_導入,0.08,0.12,0.57,0.04,1.38,0.11
PRJ0089,クラウド人事システム開発プロジェクト,2024/10,2026/06,24000,3200,2026/09/29,2026-09-29,2026,21,極小規模,extra_small,10,クラウド,新規開発,extra_small_新規開発,0.12,0.05,0.29,0.02,1.92,0.16
PRJ0090,DX推進顧客管理システム刷新プロジェクト,2026/03,2026/10,21000,1400,2027/08/29,2027-08-29,2027,8,極小規模,extra_small,9,DX/デジタル,刷新,extra_small_刷新,0.17,0.23,0.67,0.06,0.84,0.07
PRJ0091,統合基幹システム導入プロジェクト,2026/02,2027/12,64000,7600,2027/01/30,2027-01-30,2027,23,小規模,small,27,従来型,導入,small_導入,0.18,0.23,0.7,0.06,4.56,0.38
PRJ0092,統合ECサイト構築プロジェクト,2026/05,2028/04,82000,11000,2027/08/15,2027-08-15,2027,24,小規模,small,35,従来型,新規開発,small_新規開発,0.44,0.22,0.73,0.07,6.6,0.55
PRJ0093,統合販売管理システム移行プロジェクト,2024/04,2025/05,83000,10000,2025/10/24,2025-10-24,2025,14,小規模,small,35,従来型,移行,small_移行,0.38,0.88,1.12,0.12,6.0,0.5
PRJ0094,新規基幹システム導入プロジェクト,2026/08,2027/08,85000,8500,2027/01/09,2027-01-09,2027,13,小規模,small,36,従来型,導入,small_導入,0.42,0.55,1.66,0.14,5.1,0.42
PRJ0095,AI活用会計システム導入プロジェクト,2025/08,2027/03,89000,17000,2027/09/13,2027-09-13,2027,20,小規模,small,38,AI/ML,導入,small_導入,0.29,0.38,1.14,0.1,10.2,0.85
PRJ0096,DX推進販売管理システム開発プロジェクト,2024/03,2025/04,10000,750,2025/09/01,2025-09-01,2025,14,極小規模,extra_small,4,DX/デジタル,新規開発,extra_small_新規開発,0.07,0.03,0.17,0.01,0.45,0.04
PRJ0097,AI活用販売管理システム移行プロジェクト,2025/10,2026/06,40000,2900,2026/10/16,2026-10-16,2026,9,極小規模,extra_small,17,AI/ML,移行,extra_small_移行,0.19,0.57,1.04,0.09,1.74,0.14
PRJ0098,次世代販売管理システム移行プロジェクト,2025/05,2026/05,40000,2000,2025/09/08,2025-09-08,2025,13,極小規模,extra_small,17,従来型,移行,extra_small_移行,0.13,0.39,0.72,0.07,1.2,0.1
PRJ0099,AI活用顧客管理システム刷新プロジェクト,2025/02,2026/01,99000,6900,2026/11/19,2026-11-19,2026,12,小規模,small,42,AI/ML,刷新,small_刷新,0.7,0.88,1.75,0.18,4.14,0.34
PRJ0100,既存人事システム刷新プロジェクト,2024/05,2026/01,67000,8400,2026/08/21,2026-08-21,2026,21,小規模,small,28,従来型,刷新,small_刷新,0.27,0.33,0.67,0.07,5.04,0.42
