案件ID,案件名,活動開始月,活動終了月,初期投資金額,運用費,システム利用開始時期,プロジェクト規模,プロジェクト種別,技術領域,開発_ビジネスケイパビリティ(人月),開発_デリバリケイパビリティ(人月),開発_テクニカルケイパビリティ(人月),開発_リーダーシップケイパビリティ(人月),運用_ビジネスケイパビリティ(人月),運用_デリバリケイパビリティ(人月),運用_テクニカルケイパビリティ(人月),運用_リーダーシップケイパビリティ(人月)
PRJ0016,クラウド在庫管理システム刷新プロジェクト,2026/03,2028/01,79000,13000,2026/08/31,extra_small,刷新,クラウド,1.422,1.8960000000000001,5.688,0.47400000000000003,1.17,3.51,6.4350000000000005,0.585
PRJ0017,新規在庫管理システム導入プロジェクト,2024/02,2024/09,53000,6900,2027/02/05,extra_small,導入,従来型,0.636,0.9539999999999998,4.451999999999999,0.318,0.621,1.863,3.4155,0.3105
PRJ0018,AI活用在庫管理システム移行プロジェクト,2026/07,2026/12,23000,4500,2027/07/23,extra_small,移行,AI/ML,0.27599999999999997,0.828,1.518,0.13799999999999998,0.405,1.2149999999999999,2.2275,0.2025
PRJ0019,クラウド在庫管理システム構築プロジェクト,2025/02,2026/06,91000,12000,2027/01/14,extra_small,新規開発,クラウド,2.73,1.092,6.552,0.546,1.08,3.24,5.940000000000001,0.54
PRJ0020,クラウド会計システム刷新プロジェクト,2025/12,2027/08,92000,8000,2026/07/08,extra_small,刷新,クラウド,1.656,2.2079999999999997,6.624,0.5519999999999999,0.7200000000000001,2.16,3.9600000000000004,0.36000000000000004
PRJ0021,統合人事システム移行プロジェクト,2025/10,2026/11,44000,7200,2026/05/15,extra_small,移行,従来型,0.528,1.584,2.9040000000000004,0.264,0.6480000000000001,1.944,3.5640000000000005,0.32400000000000007
PRJ0022,AI活用販売管理システム構築プロジェクト,2024/01,2025/10,24000,1600,2027/05/16,extra_small,新規開発,AI/ML,0.72,0.288,1.728,0.144,0.144,0.432,0.792,0.072
PRJ0023,クラウド人事システム導入プロジェクト,2024/05,2026/04,19000,3200,2026/11/25,extra_small,導入,クラウド,0.22799999999999998,0.34199999999999997,1.5959999999999999,0.11399999999999999,0.288,0.864,1.584,0.144
PRJ0024,AI活用顧客管理システム開発プロジェクト,2024/10,2026/09,50000,7500,2025/05/15,extra_small,新規開発,AI/ML,1.5,0.6000000000000001,3.5999999999999996,0.30000000000000004,0.675,2.025,3.7125000000000004,0.3375
PRJ0025,次世代基幹システム導入プロジェクト,2026/08,2028/03,10000,750,2026/09/13,extra_small,導入,従来型,0.12,0.18,0.84,0.06,0.0675,0.2025,0.3712500000000001,0.03375
PRJ0026,AI活用基幹システム構築プロジェクト,2024/07,2024/10,34000,3700,2026/08/25,extra_small,新規開発,AI/ML,1.02,0.40800000000000003,2.448,0.20400000000000001,0.333,0.999,1.8315000000000001,0.1665
PRJ0027,新規人事システム移行プロジェクト,2024/04,2024/10,23000,1500,2025/07/20,extra_small,移行,従来型,0.27599999999999997,0.828,1.518,0.13799999999999998,0.135,0.405,0.7425000000000002,0.0675
PRJ0028,DX推進会計システム導入プロジェクト,2025/05,2025/12,19000,1500,2026/01/26,extra_small,導入,DX/デジタル,0.22799999999999998,0.34199999999999997,1.5959999999999999,0.11399999999999999,0.135,0.405,0.7425000000000002,0.0675
PRJ0029,新規基幹システム構築プロジェクト,2025/09,2027/03,55000,6700,2026/12/05,extra_small,新規開発,従来型,1.65,0.66,3.9599999999999995,0.33,0.6030000000000001,1.809,3.3165000000000004,0.30150000000000005
PRJ0030,次世代在庫管理システム刷新プロジェクト,2026/03,2027/07,56000,6400,2028/01/10,extra_small,刷新,従来型,1.008,1.344,4.032,0.336,0.576,1.728,3.168,0.288
PRJ0031,次世代販売管理システム開発プロジェクト,2024/09,2025/02,32000,3700,2027/02/09,extra_small,新規開発,従来型,0.96,0.384,2.304,0.192,0.333,0.999,1.8315000000000001,0.1665
PRJ0032,クラウド販売管理システム構築プロジェクト,2026/12,2028/07,11000,2000,2025/07/15,extra_small,新規開発,クラウド,0.33,0.132,0.792,0.066,0.18000000000000002,0.54,0.9900000000000001,0.09000000000000001
PRJ0033,新規顧客管理システム開発プロジェクト,2025/02,2025/12,36000,7000,2027/10/25,extra_small,新規開発,従来型,1.08,0.43200000000000005,2.592,0.21600000000000003,0.63,1.89,3.4650000000000003,0.315
PRJ0034,次世代在庫管理システム構築プロジェクト,2024/04,2025/07,85000,9600,2026/02/19,extra_small,新規開発,従来型,2.55,1.02,6.119999999999999,0.51,0.8640000000000001,2.592,4.752000000000001,0.43200000000000005
PRJ0035,次世代在庫管理システム刷新プロジェクト,2024/04,2026/04,37000,2600,2027/10/06,extra_small,刷新,従来型,0.666,0.8880000000000001,2.664,0.22200000000000003,0.23399999999999999,0.702,1.287,0.11699999999999999
PRJ0036,次世代販売管理システム開発プロジェクト,2026/01,2027/11,61000,3700,2025/10/16,extra_small,新規開発,従来型,1.8299999999999998,0.732,4.3919999999999995,0.366,0.333,0.999,1.8315000000000001,0.1665
PRJ0037,新規会計システム導入プロジェクト,2026/04,2027/01,31000,5600,2026/05/10,extra_small,導入,従来型,0.372,0.5579999999999999,2.6039999999999996,0.186,0.504,1.512,2.7720000000000002,0.252
PRJ0038,クラウド会計システム移行プロジェクト,2026/07,2027/06,94000,14000,2025/10/26,extra_small,移行,クラウド,1.128,3.384,6.204,0.564,1.26,3.78,6.930000000000001,0.63
PRJ0039,次世代人事システム刷新プロジェクト,2026/04,2027/07,36000,6400,2027/03/28,extra_small,刷新,従来型,0.648,0.8640000000000001,2.592,0.21600000000000003,0.576,1.728,3.168,0.288
PRJ0040,AI活用会計システム刷新プロジェクト,2026/03,2028/03,54000,4900,2026/08/20,extra_small,刷新,AI/ML,0.972,1.2960000000000003,3.888,0.32400000000000007,0.44100000000000006,1.323,2.4255000000000004,0.22050000000000003
PRJ0041,DX推進ECサイト刷新プロジェクト,2024/10,2025/06,92000,8800,2026/05/30,extra_small,刷新,DX/デジタル,1.656,2.2079999999999997,6.624,0.5519999999999999,0.792,2.376,4.356,0.396
PRJ0042,次世代ECサイト導入プロジェクト,2024/12,2025/10,16000,2700,2025/11/22,extra_small,導入,従来型,0.192,0.288,1.3439999999999999,0.096,0.24300000000000002,0.729,1.3365000000000002,0.12150000000000001
PRJ0043,新規顧客管理システム移行プロジェクト,2026/10,2028/08,27000,3100,2026/01/22,extra_small,移行,従来型,0.32400000000000007,0.972,1.7820000000000003,0.16200000000000003,0.279,0.837,1.5345000000000002,0.1395
PRJ0044,次世代ECサイト移行プロジェクト,2025/11,2027/08,97000,18000,2026/03/05,extra_small,移行,従来型,1.164,3.4919999999999995,6.402,0.582,1.62,4.859999999999999,8.91,0.81
PRJ0045,次世代顧客管理システム導入プロジェクト,2025/12,2026/12,88000,6800,2027/12/16,extra_small,導入,従来型,1.056,1.584,7.3919999999999995,0.528,0.6120000000000001,1.8359999999999999,3.3660000000000005,0.30600000000000005
PRJ0046,AI活用販売管理システム構築プロジェクト,2024/06,2024/12,89000,12000,2027/01/05,extra_small,新規開発,AI/ML,2.67,1.068,6.4079999999999995,0.534,1.08,3.24,5.940000000000001,0.54
PRJ0047,クラウドECサイト移行プロジェクト,2024/11,2026/01,23000,2500,2027/01/03,extra_small,移行,クラウド,0.27599999999999997,0.828,1.518,0.13799999999999998,0.225,0.6749999999999999,1.2375,0.1125
PRJ0048,DX推進人事システム移行プロジェクト,2025/03,2025/10,56000,6500,2025/06/28,extra_small,移行,DX/デジタル,0.672,2.016,3.696,0.336,0.585,1.755,3.2175000000000002,0.2925
PRJ0049,クラウドECサイト移行プロジェクト,2024/04,2026/01,91000,16000,2026/04/09,extra_small,移行,クラウド,1.092,3.276,6.006,0.546,1.4400000000000002,4.32,7.920000000000001,0.7200000000000001
PRJ0050,DX推進顧客管理システム構築プロジェクト,2025/06,2026/10,26000,3200,2026/06/20,extra_small,新規開発,DX/デジタル,0.78,0.31200000000000006,1.8719999999999999,0.15600000000000003,0.288,0.864,1.584,0.144
PRJ0051,DX推進顧客管理システム刷新プロジェクト,2024/04,2024/09,36000,4200,2026/02/24,extra_small,刷新,DX/デジタル,0.648,0.8640000000000001,2.592,0.21600000000000003,0.378,1.134,2.079,0.189
PRJ0052,AI活用会計システム開発プロジェクト,2026/01,2027/07,16000,1800,2027/05/02,extra_small,新規開発,AI/ML,0.48,0.192,1.152,0.096,0.16200000000000003,0.486,0.8910000000000001,0.08100000000000002
PRJ0053,次世代会計システム移行プロジェクト,2026/05,2026/10,55000,4600,2027/01/21,extra_small,移行,従来型,0.66,1.9799999999999998,3.63,0.33,0.414,1.2419999999999998,2.277,0.207
PRJ0054,次世代ECサイト導入プロジェクト,2024/08,2026/06,26000,4800,2027/03/11,extra_small,導入,従来型,0.31200000000000006,0.46799999999999997,2.1839999999999997,0.15600000000000003,0.43200000000000005,1.296,2.3760000000000003,0.21600000000000003
PRJ0055,統合人事システム構築プロジェクト,2025/04,2027/03,82000,9100,2027/04/29,extra_small,新規開発,従来型,2.4599999999999995,0.9839999999999999,5.903999999999999,0.49199999999999994,0.819,2.457,4.5045,0.4095
PRJ0056,既存ECサイト刷新プロジェクト,2024/05,2025/09,14000,2500,2025/05/01,extra_small,刷新,従来型,0.252,0.336,1.008,0.084,0.225,0.6749999999999999,1.2375,0.1125
PRJ0057,新規ECサイト開発プロジェクト,2024/12,2025/06,30000,3800,2026/09/10,extra_small,新規開発,従来型,0.8999999999999999,0.36,2.1599999999999997,0.18,0.342,1.026,1.881,0.171
PRJ0058,クラウド人事システム導入プロジェクト,2026/02,2027/07,32000,3000,2027/11/29,extra_small,導入,クラウド,0.384,0.576,2.6879999999999997,0.192,0.27,0.81,1.4850000000000003,0.135
PRJ0059,DX推進人事システム構築プロジェクト,2024/10,2025/01,16000,2700,2027/12/28,extra_small,新規開発,DX/デジタル,0.48,0.192,1.152,0.096,0.24300000000000002,0.729,1.3365000000000002,0.12150000000000001
PRJ0060,統合基幹システム開発プロジェクト,2025/05,2025/10,12000,1300,2026/11/29,extra_small,新規開発,従来型,0.36,0.144,0.864,0.072,0.11699999999999999,0.351,0.6435,0.058499999999999996
PRJ0061,既存会計システム構築プロジェクト,2024/10,2025/11,68000,4300,2026/06/24,extra_small,新規開発,従来型,2.04,0.8160000000000001,4.896,0.40800000000000003,0.387,1.161,2.1285000000000003,0.1935
PRJ0062,新規人事システム開発プロジェクト,2025/10,2027/02,72000,10000,2027/03/24,extra_small,新規開発,従来型,2.16,0.8640000000000001,5.184,0.43200000000000005,0.9,2.6999999999999997,4.95,0.45
PRJ0063,次世代顧客管理システム移行プロジェクト,2025/02,2026/10,76000,10000,2027/10/05,extra_small,移行,従来型,0.9119999999999999,2.7359999999999998,5.016,0.45599999999999996,0.9,2.6999999999999997,4.95,0.45
PRJ0064,AI活用在庫管理システム開発プロジェクト,2024/12,2025/09,49000,7700,2027/12/26,extra_small,新規開発,AI/ML,1.47,0.588,3.528,0.294,0.6930000000000001,2.0789999999999997,3.8115,0.34650000000000003
PRJ0065,統合在庫管理システム導入プロジェクト,2026/04,2026/07,93000,15000,2026/02/09,extra_small,導入,従来型,1.116,1.674,7.811999999999999,0.558,1.35,4.05,7.425000000000001,0.675
PRJ0066,新規基幹システム開発プロジェクト,2025/05,2026/02,59000,6200,2025/08/30,extra_small,新規開発,従来型,1.77,0.7080000000000001,4.248,0.35400000000000004,0.558,1.674,3.0690000000000004,0.279
PRJ0067,AI活用顧客管理システム導入プロジェクト,2026/03,2027/03,94000,13000,2026/11/15,extra_small,導入,AI/ML,1.128,1.692,7.895999999999999,0.564,1.17,3.51,6.4350000000000005,0.585
PRJ0068,既存販売管理システム構築プロジェクト,2026/06,2027/09,92000,6200,2026/01/15,extra_small,新規開発,従来型,2.76,1.1039999999999999,6.624,0.5519999999999999,0.558,1.674,3.0690000000000004,0.279
PRJ0069,DX推進在庫管理システム導入プロジェクト,2025/04,2025/09,87000,6200,2025/01/26,extra_small,導入,DX/デジタル,1.044,1.5659999999999998,7.307999999999999,0.522,0.558,1.674,3.0690000000000004,0.279
PRJ0070,既存基幹システム移行プロジェクト,2026/10,2027/06,53000,4000,2026/01/27,extra_small,移行,従来型,0.636,1.9079999999999997,3.4979999999999998,0.318,0.36000000000000004,1.08,1.9800000000000002,0.18000000000000002
PRJ0071,次世代ECサイト開発プロジェクト,2025/12,2027/11,68000,12000,2026/01/22,extra_small,新規開発,従来型,2.04,0.8160000000000001,4.896,0.40800000000000003,1.08,3.24,5.940000000000001,0.54
PRJ0072,DX推進基幹システム導入プロジェクト,2025/09,2026/02,85000,14000,2025/10/15,extra_small,導入,DX/デジタル,1.02,1.5299999999999998,7.139999999999999,0.51,1.26,3.78,6.930000000000001,0.63
PRJ0073,新規会計システム開発プロジェクト,2024/09,2025/02,40000,3600,2026/04/06,extra_small,新規開発,従来型,1.2,0.48,2.88,0.24,0.32400000000000007,0.972,1.7820000000000003,0.16200000000000003
PRJ0074,DX推進販売管理システム導入プロジェクト,2024/01,2024/05,21000,3700,2026/12/05,extra_small,導入,DX/デジタル,0.252,0.378,1.7639999999999998,0.126,0.333,0.999,1.8315000000000001,0.1665
PRJ0075,既存顧客管理システム移行プロジェクト,2024/03,2025/03,64000,7800,2025/07/06,extra_small,移行,従来型,0.768,2.304,4.224,0.384,0.702,2.106,3.861,0.351
PRJ0076,既存ECサイト刷新プロジェクト,2025/11,2026/02,21000,1300,2026/10/12,extra_small,刷新,従来型,0.378,0.504,1.512,0.126,0.11699999999999999,0.351,0.6435,0.058499999999999996
PRJ0077,新規在庫管理システム開発プロジェクト,2026/08,2027/07,46000,6100,2027/04/30,extra_small,新規開発,従来型,1.38,0.5519999999999999,3.312,0.27599999999999997,0.549,1.647,3.0195000000000003,0.2745
PRJ0078,次世代人事システム開発プロジェクト,2024/10,2025/12,97000,18000,2027/09/20,extra_small,新規開発,従来型,2.9099999999999997,1.164,6.983999999999999,0.582,1.62,4.859999999999999,8.91,0.81
PRJ0079,既存ECサイト開発プロジェクト,2024/02,2024/06,95000,15000,2027/04/04,extra_small,新規開発,従来型,2.85,1.1400000000000001,6.84,0.5700000000000001,1.35,4.05,7.425000000000001,0.675
PRJ0080,クラウド顧客管理システム開発プロジェクト,2024/11,2026/07,71000,12000,2026/10/03,extra_small,新規開発,クラウド,2.13,0.852,5.111999999999999,0.426,1.08,3.24,5.940000000000001,0.54
PRJ0081,新規人事システム開発プロジェクト,2024/08,2025/01,92000,4900,2026/09/10,extra_small,新規開発,従来型,2.76,1.1039999999999999,6.624,0.5519999999999999,0.44100000000000006,1.323,2.4255000000000004,0.22050000000000003
PRJ0082,クラウド在庫管理システム開発プロジェクト,2024/09,2026/03,89000,5600,2027/01/15,extra_small,新規開発,クラウド,2.67,1.068,6.4079999999999995,0.534,0.504,1.512,2.7720000000000002,0.252
PRJ0083,AI活用人事システム構築プロジェクト,2026/10,2027/06,55000,4900,2026/02/08,extra_small,新規開発,AI/ML,1.65,0.66,3.9599999999999995,0.33,0.44100000000000006,1.323,2.4255000000000004,0.22050000000000003
PRJ0084,次世代基幹システム刷新プロジェクト,2025/02,2026/02,98000,6400,2027/09/20,extra_small,刷新,従来型,1.764,2.352,7.056,0.588,0.576,1.728,3.168,0.288
PRJ0085,DX推進在庫管理システム導入プロジェクト,2025/07,2026/02,63000,3600,2026/04/05,extra_small,導入,DX/デジタル,0.756,1.134,5.292,0.378,0.32400000000000007,0.972,1.7820000000000003,0.16200000000000003
PRJ0086,次世代人事システム移行プロジェクト,2026/09,2027/04,21000,1000,2027/06/06,extra_small,移行,従来型,0.252,0.756,1.3860000000000001,0.126,0.09000000000000001,0.27,0.49500000000000005,0.045000000000000005
PRJ0087,既存会計システム導入プロジェクト,2024/06,2026/04,43000,5700,2025/08/20,extra_small,導入,従来型,0.5159999999999999,0.7739999999999999,3.611999999999999,0.25799999999999995,0.513,1.539,2.8215000000000003,0.2565
PRJ0088,AI活用販売管理システム移行プロジェクト,2024/09,2026/05,17000,3300,2026/11/27,extra_small,移行,AI/ML,0.20400000000000001,0.612,1.122,0.10200000000000001,0.29700000000000004,0.891,1.6335000000000002,0.14850000000000002
PRJ0089,次世代基幹システム刷新プロジェクト,2025/04,2026/07,86000,14000,2027/01/27,extra_small,刷新,従来型,1.5479999999999998,2.0639999999999996,6.191999999999999,0.5159999999999999,1.26,3.78,6.930000000000001,0.63
PRJ0090,次世代顧客管理システム刷新プロジェクト,2025/03,2025/12,98000,18000,2027/12/08,extra_small,刷新,従来型,1.764,2.352,7.056,0.588,1.62,4.859999999999999,8.91,0.81
PRJ0091,AI活用基幹システム導入プロジェクト,2026/08,2028/08,57000,4500,2027/05/07,extra_small,導入,AI/ML,0.684,1.026,4.787999999999999,0.342,0.405,1.2149999999999999,2.2275,0.2025
PRJ0092,既存在庫管理システム移行プロジェクト,2024/11,2025/04,30000,1600,2026/11/13,extra_small,移行,従来型,0.36,1.0799999999999998,1.98,0.18,0.144,0.432,0.792,0.072
PRJ0093,統合販売管理システム刷新プロジェクト,2025/03,2025/07,88000,15000,2026/12/12,extra_small,刷新,従来型,1.584,2.112,6.336,0.528,1.35,4.05,7.425000000000001,0.675
PRJ0094,新規会計システム移行プロジェクト,2026/01,2028/01,68000,8200,2026/04/04,extra_small,移行,従来型,0.8160000000000001,2.448,4.488,0.40800000000000003,0.738,2.214,4.059,0.369
PRJ0095,既存顧客管理システム導入プロジェクト,2026/09,2027/08,63000,5500,2025/02/14,extra_small,導入,従来型,0.756,1.134,5.292,0.378,0.49500000000000005,1.485,2.7225,0.24750000000000003
PRJ0096,既存会計システム構築プロジェクト,2024/05,2025/12,28000,1700,2026/09/09,extra_small,新規開発,従来型,0.84,0.336,2.016,0.168,0.15300000000000002,0.45899999999999996,0.8415000000000001,0.07650000000000001
PRJ0097,クラウド販売管理システム導入プロジェクト,2024/04,2025/12,22000,3000,2027/11/15,extra_small,導入,クラウド,0.264,0.396,1.8479999999999999,0.132,0.27,0.81,1.4850000000000003,0.135
PRJ0098,DX推進ECサイト開発プロジェクト,2026/09,2027/10,64000,7800,2026/06/24,extra_small,新規開発,DX/デジタル,1.92,0.768,4.608,0.384,0.702,2.106,3.861,0.351
PRJ0099,DX推進基幹システム開発プロジェクト,2024/06,2026/04,73000,5800,2028/01/07,extra_small,新規開発,DX/デジタル,2.19,0.876,5.255999999999999,0.438,0.522,1.5659999999999998,2.871,0.261
PRJ0100,DX推進会計システム移行プロジェクト,2026/11,2027/04,40000,3200,2026/12/15,extra_small,移行,DX/デジタル,0.48,1.44,2.64,0.24,0.288,0.864,1.584,0.144
