案件ID,案件名,活動開始月,活動終了月,初期投資金額,運用費,システム利用開始時期
PRJ0046,AI活用販売管理システム構築プロジェクト,2024/06,2024/12,89000,12000,2027/01/05
PRJ0047,クラウドECサイト移行プロジェクト,2024/11,2026/01,23000,2500,2027/01/03
PRJ0048,DX推進人事システム移行プロジェクト,2025/03,2025/10,56000,6500,2025/06/28
PRJ0049,クラウドECサイト移行プロジェクト,2024/04,2026/01,91000,16000,2026/04/09
PRJ0050,DX推進顧客管理システム構築プロジェクト,2025/06,2026/10,26000,3200,2026/06/20
PRJ0051,DX推進顧客管理システム刷新プロジェクト,2024/04,2024/09,36000,4200,2026/02/24
PRJ0052,AI活用会計システム開発プロジェクト,2026/01,2027/07,16000,1800,2027/05/02
PRJ0053,次世代会計システム移行プロジェクト,2026/05,2026/10,55000,4600,2027/01/21
PRJ0054,次世代ECサイト導入プロジェクト,2024/08,2026/06,26000,4800,2027/03/11
PRJ0055,統合人事システム構築プロジェクト,2025/04,2027/03,82000,9100,2027/04/29
PRJ0056,既存ECサイト刷新プロジェクト,2024/05,2025/09,14000,2500,2025/05/01
PRJ0057,新規ECサイト開発プロジェクト,2024/12,2025/06,30000,3800,2026/09/10
PRJ0058,クラウド人事システム導入プロジェクト,2026/02,2027/07,32000,3000,2027/11/29
PRJ0059,DX推進人事システム構築プロジェクト,2024/10,2025/01,16000,2700,2027/12/28
PRJ0060,統合基幹システム開発プロジェクト,2025/05,2025/10,12000,1300,2026/11/29
PRJ0061,既存会計システム構築プロジェクト,2024/10,2025/11,68000,4300,2026/06/24
PRJ0062,新規人事システム開発プロジェクト,2025/10,2027/02,72000,10000,2027/03/24
PRJ0063,次世代顧客管理システム移行プロジェクト,2025/02,2026/10,76000,10000,2027/10/05
PRJ0064,AI活用在庫管理システム開発プロジェクト,2024/12,2025/09,49000,7700,2027/12/26
PRJ0065,統合在庫管理システム導入プロジェクト,2026/04,2026/07,93000,15000,2026/02/09
PRJ0066,新規基幹システム開発プロジェクト,2025/05,2026/02,59000,6200,2025/08/30
PRJ0067,AI活用顧客管理システム導入プロジェクト,2026/03,2027/03,94000,13000,2026/11/15
PRJ0068,既存販売管理システム構築プロジェクト,2026/06,2027/09,92000,6200,2026/01/15
PRJ0069,DX推進在庫管理システム導入プロジェクト,2025/04,2025/09,87000,6200,2025/01/26
PRJ0070,既存基幹システム移行プロジェクト,2026/10,2027/06,53000,4000,2026/01/27
PRJ0071,次世代ECサイト開発プロジェクト,2025/12,2027/11,68000,12000,2026/01/22
PRJ0072,DX推進基幹システム導入プロジェクト,2025/09,2026/02,85000,14000,2025/10/15
PRJ0073,新規会計システム開発プロジェクト,2024/09,2025/02,40000,3600,2026/04/06
PRJ0074,DX推進販売管理システム導入プロジェクト,2024/01,2024/05,21000,3700,2026/12/05
PRJ0075,既存顧客管理システム移行プロジェクト,2024/03,2025/03,64000,7800,2025/07/06
PRJ0076,既存ECサイト刷新プロジェクト,2025/11,2026/02,21000,1300,2026/10/12
PRJ0077,新規在庫管理システム開発プロジェクト,2026/08,2027/07,46000,6100,2027/04/30
PRJ0078,次世代人事システム開発プロジェクト,2024/10,2025/12,97000,18000,2027/09/20
PRJ0079,既存ECサイト開発プロジェクト,2024/02,2024/06,95000,15000,2027/04/04
PRJ0080,クラウド顧客管理システム開発プロジェクト,2024/11,2026/07,71000,12000,2026/10/03
PRJ0081,新規人事システム開発プロジェクト,2024/08,2025/01,92000,4900,2026/09/10
PRJ0082,クラウド在庫管理システム開発プロジェクト,2024/09,2026/03,89000,5600,2027/01/15
PRJ0083,AI活用人事システム構築プロジェクト,2026/10,2027/06,55000,4900,2026/02/08
PRJ0084,次世代基幹システム刷新プロジェクト,2025/02,2026/02,98000,6400,2027/09/20
PRJ0085,DX推進在庫管理システム導入プロジェクト,2025/07,2026/02,63000,3600,2026/04/05
PRJ0086,次世代人事システム移行プロジェクト,2026/09,2027/04,21000,1000,2027/06/06
PRJ0087,既存会計システム導入プロジェクト,2024/06,2026/04,43000,5700,2025/08/20
PRJ0088,AI活用販売管理システム移行プロジェクト,2024/09,2026/05,17000,3300,2026/11/27
PRJ0089,次世代基幹システム刷新プロジェクト,2025/04,2026/07,86000,14000,2027/01/27
PRJ0090,次世代顧客管理システム刷新プロジェクト,2025/03,2025/12,98000,18000,2027/12/08
PRJ0091,AI活用基幹システム導入プロジェクト,2026/08,2028/08,57000,4500,2027/05/07
PRJ0092,既存在庫管理システム移行プロジェクト,2024/11,2025/04,30000,1600,2026/11/13
PRJ0093,統合販売管理システム刷新プロジェクト,2025/03,2025/07,88000,15000,2026/12/12
PRJ0094,新規会計システム移行プロジェクト,2026/01,2028/01,68000,8200,2026/04/04
PRJ0095,既存顧客管理システム導入プロジェクト,2026/09,2027/08,63000,5500,2025/02/14
PRJ0096,既存会計システム構築プロジェクト,2024/05,2025/12,28000,1700,2026/09/09
PRJ0097,クラウド販売管理システム導入プロジェクト,2024/04,2025/12,22000,3000,2027/11/15
PRJ0098,DX推進ECサイト開発プロジェクト,2026/09,2027/10,64000,7800,2026/06/24
PRJ0099,DX推進基幹システム開発プロジェクト,2024/06,2026/04,73000,5800,2028/01/07
PRJ0100,DX推進会計システム移行プロジェクト,2026/11,2027/04,40000,3200,2026/12/15
