project_id,project_name,category,strategic_alignment,risk,urgency,importance,budget,duration,roi,start_date,department,stakeholders,system_database_access,technology_stack,middleware_library,vendor_partner,skill_set,procurement_contract,master_data,end_user,launch_timing,regulatory_deadline,complexity
P69D1F287,Compliance Project 012,Compliance,3,1,5,4,64,4,93,2026-01-18,Sales,9,認証システム,なし,Apache/Nginx,地場SI会社,業務アナリスト,なし,顧客マスタ,営業部門,年度末稼働,なし,Low
P66308F34,Process Improvement Project 013,Process_Improvement,2,1,2,4,134,7,125,2025-10-22,HR,10,基幹業務システム,AWS/Azure クラウド,Docker/Kubernetes,なし,なし,保守契約,顧客マスタ,営業部門,なし,国際基準対応,Low
P032FBB5F,IT Infrastructure Project 014,IT_Infrastructure,3,1,4,4,296,12,209,2026-02-11,IT,5,認証システム,AWS/Azure クラウド,Docker/Kubernetes,Oracle,なし,コンサルティング,組織マスタ,カスタマーサポート,なし,なし,Low
P7CAE2637,Compliance Project 015,Compliance,3,1,5,4,54,12,108,2025-08-21,Supply Chain,8,顧客管理システム,AWS/Azure クラウド,共通ライブラリ,SAP,プロジェクトマネージャー,保守契約,製品マスタ,営業部門,年度始稼働,個人情報保護法,Low
PB7A8066A,Digital Transformation Project 016,Digital_Transformation,4,4,2,5,222,30,201,2025-08-10,Strategy,4,認証システム,なし,共通ライブラリ,Salesforce,プロジェクトマネージャー,クラウドサービス,組織マスタ,経理部門,なし,なし,Medium
PF33B73D9,Process Improvement Project 017,Process_Improvement,3,1,2,4,185,12,129,2025-12-29,Marketing,3,認証システム,React/Angular,共通ライブラリ,IBM,Java 開発者,保守契約,製品マスタ,経営層,同四半期稼働,会計基準変更,Low
P529BB56B,Process Improvement Project 018,Process_Improvement,2,1,3,2,132,12,151,2026-04-17,IT,13,ファイルサーバー,BI ツール,なし,IBM,データサイエンティスト,クラウドサービス,顧客マスタ,営業部門,なし,国際基準対応,Low
PC8AD7D7F,Digital Transformation Project 019,Digital_Transformation,5,4,2,5,308,33,310,2025-12-03,Legal,10,データウェアハウス,AWS/Azure クラウド,Apache/Nginx,地場SI会社,UI/UX デザイナー,クラウドサービス,顧客マスタ,営業部門,同四半期稼働,会計基準変更,Medium
PBE9F8E15,Cost Reduction Project 020,Cost_Reduction,3,2,4,3,43,3,140,2025-08-08,R&D,12,ファイルサーバー,REST API,Docker/Kubernetes,Microsoft,Java 開発者,クラウドサービス,組織マスタ,営業部門,同四半期稼働,会計基準変更,Low
P6D89D19E,Cost Reduction Project 021,Cost_Reduction,5,1,4,4,54,5,144,2025-10-19,Sales,3,基幹業務システム,なし,Kafka/RabbitMQ,なし,UI/UX デザイナー,なし,なし,経理部門,同四半期稼働,会計基準変更,Low
P6623DE9D,Cost Reduction Project 022,Cost_Reduction,4,1,4,3,66,15,227,2026-01-16,HR,15,基幹業務システム,REST API,Apache/Nginx,地場SI会社,データサイエンティスト,コンサルティング,組織マスタ,製造部門,同月稼働,税制改正,Low
P7C5624FC,Process Improvement Project 023,Process_Improvement,3,2,4,3,27,6,102,2025-10-20,Strategy,7,顧客管理システム,AWS/Azure クラウド,共通ライブラリ,SAP,インフラエンジニア,なし,組織マスタ,カスタマーサポート,年度始稼働,国際基準対応,Low
PA04A5211,IT Infrastructure Project 024,IT_Infrastructure,5,1,4,3,412,19,88,2026-04-13,Legal,13,なし,なし,なし,地場SI会社,データサイエンティスト,クラウドサービス,取引先マスタ,営業部門,なし,税制改正,Low
PB7EA2EFC,Compliance Project 025,Compliance,3,1,5,5,123,9,73,2025-09-24,Finance,9,なし,Java/.NET,なし,地場SI会社,データサイエンティスト,保守契約,勘定科目マスタ,製造部門,年度末稼働,国際基準対応,Low
P9E744BCA,IT Infrastructure Project 026,IT_Infrastructure,4,1,4,5,360,16,152,2026-03-04,Customer Service,13,基幹業務システム,React/Angular,Docker/Kubernetes,なし,なし,なし,製品マスタ,なし,同月稼働,税制改正,Low
PD73EE08E,Compliance Project 027,Compliance,3,1,5,4,246,6,52,2025-08-02,IT,6,認証システム,React/Angular,Apache/Nginx,SAP,UI/UX デザイナー,なし,勘定科目マスタ,経理部門,なし,なし,Low
PE9948E1F,Innovation Project 028,Innovation,4,3,1,5,32,30,114,2026-02-23,Finance,5,なし,React/Angular,Docker/Kubernetes,IBM,プロジェクトマネージャー,ソフトウェアライセンス,顧客マスタ,カスタマーサポート,連続月稼働,業界規制,Medium
P4F2ED53E,Cost Reduction Project 029,Cost_Reduction,5,2,4,4,129,4,232,2026-03-08,HR,15,基幹業務システム,なし,Kafka/RabbitMQ,なし,なし,保守契約,取引先マスタ,なし,連続月稼働,税制改正,Low
P18A662A0,Innovation Project 030,Innovation,5,4,1,4,201,16,358,2025-08-31,Operations,5,基幹業務システム,Java/.NET,なし,Microsoft,業務アナリスト,ソフトウェアライセンス,顧客マスタ,カスタマーサポート,年度末稼働,税制改正,Low
PD8E807D1,Compliance Project 031,Compliance,4,1,4,5,139,12,35,2026-01-31,Customer Service,3,データウェアハウス,BI ツール,Docker/Kubernetes,なし,なし,コンサルティング,勘定科目マスタ,なし,なし,国際基準対応,Low
PFB134A65,Compliance Project 032,Compliance,4,1,5,5,164,3,86,2026-01-09,Quality Assurance,13,認証システム,なし,Redis/Memcached,なし,UI/UX デザイナー,ソフトウェアライセンス,勘定科目マスタ,経営層,同月稼働,業界規制,Low
P05BAA237,Compliance Project 033,Compliance,3,1,4,5,86,3,69,2026-01-31,R&D,6,認証システム,BI ツール,Kafka/RabbitMQ,なし,UI/UX デザイナー,クラウドサービス,取引先マスタ,製造部門,同月稼働,業界規制,Low
P25BF5533,IT Infrastructure Project 034,IT_Infrastructure,3,2,3,5,85,7,193,2025-08-05,Finance,6,顧客管理システム,React/Angular,Redis/Memcached,Microsoft,データサイエンティスト,コンサルティング,なし,営業部門,年度始稼働,会計基準変更,Low
PC36F236F,Innovation Project 035,Innovation,4,3,3,5,88,30,146,2025-12-27,Marketing,12,顧客管理システム,BI ツール,共通ライブラリ,地場SI会社,UI/UX デザイナー,コンサルティング,なし,経理部門,同月稼働,国際基準対応,Medium
PEF41AF05,Cost Reduction Project 036,Cost_Reduction,3,2,3,3,103,10,218,2026-01-26,Marketing,11,なし,BI ツール,Apache/Nginx,なし,UI/UX デザイナー,コンサルティング,顧客マスタ,カスタマーサポート,同四半期稼働,なし,Low
P97590A48,Innovation Project 037,Innovation,4,3,3,5,168,25,357,2026-03-25,Customer Service,9,なし,React/Angular,Kafka/RabbitMQ,Oracle,なし,ソフトウェアライセンス,顧客マスタ,製造部門,年度末稼働,会計基準変更,Medium
P93F97C2D,Innovation Project 038,Innovation,4,3,2,4,123,21,173,2026-01-18,HR,8,データウェアハウス,React/Angular,なし,Oracle,プロジェクトマネージャー,ハードウェア調達,勘定科目マスタ,経理部門,同月稼働,会計基準変更,Low
P84F74DB0,Cost Reduction Project 039,Cost_Reduction,4,1,4,4,129,14,103,2025-09-06,HR,6,認証システム,なし,Redis/Memcached,Oracle,業務アナリスト,保守契約,組織マスタ,カスタマーサポート,年度始稼働,国際基準対応,Low
P7B427339,Process Improvement Project 040,Process_Improvement,4,2,3,3,199,17,103,2025-12-24,HR,6,顧客管理システム,なし,Redis/Memcached,Oracle,Java 開発者,なし,勘定科目マスタ,なし,連続月稼働,会計基準変更,Low
P45C7BCE4,Digital Transformation Project 041,Digital_Transformation,5,4,4,5,202,18,214,2025-11-14,R&D,5,データウェアハウス,AWS/Azure クラウド,なし,Salesforce,データサイエンティスト,クラウドサービス,顧客マスタ,営業部門,年度始稼働,税制改正,Low
P01DE852E,Cost Reduction Project 042,Cost_Reduction,5,2,3,3,87,9,233,2026-03-03,R&D,5,顧客管理システム,BI ツール,Docker/Kubernetes,IBM,なし,ハードウェア調達,取引先マスタ,カスタマーサポート,同月稼働,国際基準対応,Low
PFD43A03A,Cost Reduction Project 043,Cost_Reduction,3,1,4,3,78,3,255,2026-02-19,Strategy,12,ファイルサーバー,REST API,共通ライブラリ,SAP,UI/UX デザイナー,コンサルティング,組織マスタ,経営層,年度末稼働,税制改正,Low
PAE47CD1E,Compliance Project 044,Compliance,3,1,4,5,209,4,55,2025-11-20,Operations,11,顧客管理システム,REST API,Apache/Nginx,SAP,UI/UX デザイナー,なし,勘定科目マスタ,カスタマーサポート,同四半期稼働,個人情報保護法,Low
P14234D41,Digital Transformation Project 045,Digital_Transformation,5,4,3,4,339,20,308,2025-10-30,Sales,4,ファイルサーバー,REST API,なし,Microsoft,インフラエンジニア,ソフトウェアライセンス,顧客マスタ,営業部門,連続月稼働,税制改正,Medium
PF1DCA28C,Compliance Project 046,Compliance,4,1,5,5,219,9,70,2026-04-03,Legal,10,認証システム,AWS/Azure クラウド,共通ライブラリ,IBM,UI/UX デザイナー,なし,組織マスタ,経営層,同四半期稼働,個人情報保護法,Low
P44A0A641,IT Infrastructure Project 047,IT_Infrastructure,5,3,5,3,441,14,168,2025-08-10,Operations,10,ファイルサーバー,なし,Docker/Kubernetes,Oracle,データサイエンティスト,保守契約,取引先マスタ,なし,年度末稼働,個人情報保護法,Medium
P592A04AB,Innovation Project 048,Innovation,4,4,2,5,83,11,239,2026-02-16,Supply Chain,10,データウェアハウス,なし,Docker/Kubernetes,なし,なし,保守契約,顧客マスタ,カスタマーサポート,同月稼働,税制改正,Low
PBF48C170,Process Improvement Project 049,Process_Improvement,2,1,4,2,188,17,123,2025-08-17,Finance,11,データウェアハウス,React/Angular,Docker/Kubernetes,地場SI会社,UI/UX デザイナー,ハードウェア調達,製品マスタ,製造部門,年度始稼働,会計基準変更,Low
PA53F2C5A,Process Improvement Project 050,Process_Improvement,4,1,2,2,181,10,165,2025-10-10,HR,11,顧客管理システム,React/Angular,Docker/Kubernetes,IBM,データサイエンティスト,ハードウェア調達,取引先マスタ,営業部門,なし,会計基準変更,Low
