id,nameJA,nameEN,category,categoryJA,categoryEN,icon,eolStatus,eolDate,eolDateEN,tags,projects
erp-tool,不明,Unknown,backend,バックエンド,Backend,💰,unknown,2027年9月,April 2028,"['Azure', 'Docker', 'Node.js', 'MongoDB', 'Angular']",['erp']
api-app,不明,Unknown,frontend,フロントエンド,Frontend,📦,safe,2026年3月,April 2026,"['MongoDB', 'Docker', 'Python']","['portal', 'mobile', 'analytics']"
admin-site,不明,Unknown,data,データ基盤,Data,🔐,safe,2026年4月,July 2028,"['Python', 'Docker', 'React', 'MongoDB', 'Kubernetes']","['portal', 'erp', 'ecommerce']"
ec-app,不明,Unknown,backend,バックエンド,Backend,📦,critical,2027年12月,September 2027,"['Vue.js', 'MongoDB', 'Java']",['analytics']
web-platform,不明,Unknown,data,データ基盤,Data,💰,critical,2026年12月,December 2026,"['Docker', 'PostgreSQL', 'Python', 'MongoDB']","['ecommerce', 'portal', 'crm']"
crm-site,不明,Unknown,data,データ基盤,Data,📱,warning,2026年2月,November 2027,"['Node.js', 'PostgreSQL', 'MongoDB', 'Vue.js']","['crm', 'portal']"
mobile-system,不明,Unknown,backend,バックエンド,Backend,🌐,safe,2027年7月,August 2028,"['PostgreSQL', 'Azure', 'Java']","['erp', 'portal']"
mobile-service,不明,Unknown,data,データ基盤,Data,💼,warning,2027年9月,January 2027,"['Kubernetes', 'Python', 'React', 'PostgreSQL']",['ecommerce']
erp-service,不明,Unknown,frontend,フロントエンド,Frontend,💰,safe,2027年7月,May 2026,"['React', 'Azure', 'Kubernetes', 'MongoDB']","['portal', 'analytics']"
crm-system,不明,Unknown,data,データ基盤,Data,📱,safe,2026年4月,July 2026,"['Node.js', 'Azure', 'Java', 'Kubernetes']",['crm']
admin-service,不明,Unknown,frontend,フロントエンド,Frontend,📝,unknown,2027年7月,April 2028,"['Azure', 'Python', 'Angular']","['mobile', 'crm']"
erp-app,不明,Unknown,frontend,フロントエンド,Frontend,👥,safe,2028年12月,November 2027,"['Docker', 'Kubernetes']","['mobile', 'erp', 'ecommerce']"
mobile-tool,不明,Unknown,data,データ基盤,Data,🛒,warning,2026年10月,June 2028,"['Python', 'MongoDB']","['portal', 'ecommerce']"
api-platform,不明,Unknown,frontend,フロントエンド,Frontend,🔐,warning,2027年8月,September 2027,"['Azure', 'Java']","['ecommerce', 'analytics']"
mobile-site,不明,Unknown,backend,バックエンド,Backend,💰,unknown,2026年6月,June 2028,"['Vue.js', 'Python', 'Java']",['erp']
mobile-service,不明,Unknown,frontend,フロントエンド,Frontend,🛒,warning,2027年7月,December 2027,"['Angular', 'Node.js', 'Kubernetes', 'AWS', 'Java']","['analytics', 'mobile', 'portal']"
crm-system,不明,Unknown,frontend,フロントエンド,Frontend,🌐,critical,2027年9月,June 2028,"['Angular', 'Python', 'MongoDB', 'Docker']","['portal', 'analytics', 'erp']"
api-site,不明,Unknown,frontend,フロントエンド,Frontend,🌐,unknown,2028年12月,December 2027,"['Vue.js', 'MongoDB', 'Kubernetes', 'Angular']",['analytics']
crm-tool,不明,Unknown,backend,バックエンド,Backend,⚙️,warning,2028年10月,May 2027,"['Docker', 'Kubernetes', 'PostgreSQL']",['erp']
mobile-system,不明,Unknown,backend,バックエンド,Backend,🔐,warning,2026年8月,May 2027,"['Vue.js', 'PostgreSQL', 'React', 'Python']",['mobile']
api-service,不明,Unknown,backend,バックエンド,Backend,🔐,critical,2026年5月,February 2026,"['MongoDB', 'Java']","['portal', 'erp']"
web-system,不明,Unknown,data,データ基盤,Data,🔐,unknown,2027年8月,April 2028,"['Azure', 'PostgreSQL', 'Java', 'Vue.js']",['analytics']
admin-system,不明,Unknown,backend,バックエンド,Backend,⚙️,critical,2026年7月,February 2027,"['MongoDB', 'React', 'Azure']",['crm']
api-platform,不明,Unknown,frontend,フロントエンド,Frontend,📝,unknown,2027年11月,September 2028,"['Azure', 'Node.js', 'Vue.js', 'MongoDB']","['mobile', 'analytics']"
dashboard-service,不明,Unknown,backend,バックエンド,Backend,📦,unknown,2028年7月,March 2028,"['Docker', 'PostgreSQL', 'Vue.js', 'Angular']","['ecommerce', 'analytics', 'erp']"
ec-site,不明,Unknown,backend,バックエンド,Backend,💰,safe,2028年3月,April 2026,"['React', 'Python']","['erp', 'crm', 'portal']"
portal-service,不明,Unknown,frontend,フロントエンド,Frontend,💼,warning,2027年3月,August 2028,"['Vue.js', 'Kubernetes', 'Node.js', 'AWS', 'Angular']",['ecommerce']
ec-site,不明,Unknown,data,データ基盤,Data,⚙️,warning,2028年9月,December 2027,"['MongoDB', 'Java', 'AWS', 'PostgreSQL', 'Angular']","['portal', 'ecommerce', 'crm']"
admin-system,不明,Unknown,backend,バックエンド,Backend,📦,safe,2026年7月,September 2028,"['Docker', 'Vue.js', 'MongoDB', 'PostgreSQL', 'Python']","['erp', 'crm']"
api-system,不明,Unknown,data,データ基盤,Data,📱,critical,2028年10月,May 2028,"['Kubernetes', 'Java']",['ecommerce']
dashboard-platform,不明,Unknown,data,データ基盤,Data,📦,safe,2028年1月,April 2026,"['MongoDB', 'Kubernetes', 'Node.js']",['erp']
portal-platform,不明,Unknown,data,データ基盤,Data,⚙️,warning,2026年11月,April 2027,"['Vue.js', 'Docker', 'Java', 'AWS']",['crm']
ec-site,不明,Unknown,frontend,フロントエンド,Frontend,💼,warning,2027年3月,March 2027,"['React', 'PostgreSQL', 'Python', 'Node.js']","['crm', 'ecommerce', 'portal']"
crm-tool,不明,Unknown,data,データ基盤,Data,🔐,safe,2027年3月,January 2027,"['MongoDB', 'Vue.js']","['analytics', 'portal', 'mobile']"
erp-platform,不明,Unknown,data,データ基盤,Data,👥,safe,2026年5月,September 2028,"['Docker', 'Kubernetes', 'Azure']","['mobile', 'portal', 'erp']"
ec-service,不明,Unknown,frontend,フロントエンド,Frontend,🌐,safe,2027年6月,May 2026,"['React', 'Java']","['erp', 'crm', 'analytics']"
web-platform,不明,Unknown,data,データ基盤,Data,👥,warning,2026年8月,January 2026,"['Angular', 'Azure', 'Node.js']",['analytics']
erp-app,不明,Unknown,data,データ基盤,Data,⚙️,safe,2027年6月,May 2028,"['AWS', 'Node.js']","['portal', 'erp']"
erp-site,不明,Unknown,frontend,フロントエンド,Frontend,💰,safe,2027年5月,March 2028,"['Node.js', 'Java', 'Angular']","['mobile', 'ecommerce']"
api-service,不明,Unknown,frontend,フロントエンド,Frontend,📦,critical,2027年5月,August 2028,"['Python', 'Angular']","['mobile', 'ecommerce']"
ec-service,不明,Unknown,backend,バックエンド,Backend,💰,safe,2026年8月,January 2026,"['AWS', 'Python', 'Angular']","['analytics', 'portal']"
cms-tool,不明,Unknown,backend,バックエンド,Backend,🔐,warning,2026年12月,May 2028,"['Docker', 'React']",['ecommerce']
cms-tool,不明,Unknown,backend,バックエンド,Backend,👥,critical,2028年1月,August 2027,"['React', 'Java', 'Node.js']","['erp', 'ecommerce']"
