response_id,respondent_id,timestamp,vendor_id,vendor_name,department,department_ja,role,role_ja,usage_frequency,usage_frequency_ja,incident_experience,performance_incident_response_speed,performance_sla_achievement,performance_problem_resolution,performance_communication_speed,performance_availability_maintenance,technical_expertise,technical_troubleshooting,technical_new_tech_adaptation,technical_documentation_quality,technical_proposal,business_process_understanding,business_impact_consideration,business_prioritization,business_stakeholder_management,business_cost_awareness,improvement_proposal_quality,improvement_proposal_frequency,improvement_proactive_attitude,improvement_innovation,improvement_long_term_perspective,comment
19,119,2025-10-24 02:31:58,D,D社,it,IT部門,staff,一般社員,medium,中頻度,False,1,3,5,5,4,5,5,1,5,4,3,4,2,1,5,5,1,4,4,4,
20,120,2025-11-04 21:36:58,C,C社,hr,人事部門,leader,リーダー,high,高頻度,True,5,1,1,1,2,1,2,1,3,4,2,5,5,2,3,4,3,3,5,2,
21,121,2025-11-19 18:08:58,A,A社,business,業務部門,staff,一般社員,high,高頻度,False,5,2,4,4,5,1,2,3,3,2,2,2,2,3,1,2,3,5,1,1,改善提案が的確で、ビジネスに貢献してくれています。
22,122,2025-10-31 22:00:58,B,B社,logistics,物流部門,staff,一般社員,medium,中頻度,True,1,2,1,5,1,3,3,5,1,3,4,5,5,5,1,3,4,4,1,2,
23,123,2025-11-08 23:02:58,D,D社,logistics,物流部門,staff,一般社員,low,低頻度,False,1,4,5,1,3,5,1,1,2,3,1,3,1,5,1,4,2,2,1,3,
24,124,2025-11-19 00:40:58,C,C社,finance,経理財務部門,executive,役員,low,低頻度,False,1,5,4,2,1,4,5,2,2,5,2,1,3,1,2,1,3,2,1,4,
25,125,2025-11-22 16:26:58,C,C社,sales,営業部門,executive,役員,high,高頻度,False,1,1,5,2,3,1,1,4,5,4,3,3,2,1,4,1,3,1,3,2,
26,126,2025-11-20 20:30:58,B,B社,it,IT部門,executive,役員,high,高頻度,False,4,1,3,1,4,4,1,1,2,3,4,2,3,3,5,4,5,5,4,1,改善提案が的確で、ビジネスに貢献してくれています。
27,127,2025-11-10 20:21:58,B,B社,sales,営業部門,staff,一般社員,low,低頻度,False,3,3,4,2,2,1,3,1,4,2,1,4,5,4,3,4,5,4,2,2,
28,128,2025-10-27 01:46:58,C,C社,business,業務部門,leader,リーダー,high,高頻度,False,3,2,3,1,1,1,5,3,2,2,5,5,2,2,3,4,1,2,3,5,
29,129,2025-11-03 21:46:58,A,A社,logistics,物流部門,executive,役員,low,低頻度,False,1,5,1,5,5,1,5,5,5,3,3,1,4,1,2,1,4,5,3,1,
30,130,2025-11-12 00:26:58,A,A社,finance,経理財務部門,manager,マネージャー,medium,中頻度,False,3,4,1,5,4,5,4,4,2,4,2,5,3,5,1,1,1,1,2,3,コミュニケーションが取りやすく、信頼できるパートナーです。
31,131,2025-11-05 01:31:58,D,D社,logistics,物流部門,manager,マネージャー,high,高頻度,True,3,2,4,1,1,2,1,2,4,2,2,2,2,3,2,4,5,3,2,4,
32,132,2025-10-31 17:04:58,A,A社,sales,営業部門,manager,マネージャー,medium,中頻度,True,1,4,4,5,5,4,1,4,1,5,3,5,3,2,4,5,2,5,1,2,もう少しコストを抑えられると助かります。
33,133,2025-11-05 16:52:58,C,C社,sales,営業部門,specialist,スペシャリスト,high,高頻度,False,3,3,5,5,1,5,2,2,5,2,2,1,2,3,4,5,5,5,3,1,一部対応に遅れが見られることがあります。
34,134,2025-11-22 01:02:58,C,C社,it,IT部門,staff,一般社員,high,高頻度,False,5,3,5,5,3,5,4,5,1,1,4,2,1,2,5,2,4,3,5,5,
35,135,2025-11-16 02:31:58,C,C社,it,IT部門,manager,マネージャー,medium,中頻度,False,2,1,3,3,1,5,2,2,1,1,1,5,3,2,5,3,5,5,2,1,
36,136,2025-11-03 22:23:58,A,A社,finance,経理財務部門,staff,一般社員,medium,中頻度,True,2,5,4,4,1,5,2,3,1,4,4,4,4,1,4,5,4,1,2,5,改善提案が的確で、ビジネスに貢献してくれています。
37,137,2025-11-23 03:17:58,D,D社,it,IT部門,manager,マネージャー,high,高頻度,False,1,4,1,2,1,5,2,3,3,3,2,2,4,3,4,1,4,1,4,3,
38,138,2025-11-03 01:39:58,A,A社,sales,営業部門,leader,リーダー,medium,中頻度,True,4,2,5,3,4,3,3,3,3,4,5,2,5,3,4,5,4,3,5,4,技術的な知識が豊富で、安心して任せられます。
39,139,2025-11-13 18:05:58,D,D社,sales,営業部門,staff,一般社員,low,低頻度,True,1,3,5,5,1,4,3,3,1,4,1,4,2,5,2,2,4,4,5,3,
40,140,2025-11-20 20:51:58,A,A社,business,業務部門,manager,マネージャー,low,低頻度,True,4,1,1,1,5,5,2,4,5,4,1,3,3,5,4,2,4,2,2,2,
41,141,2025-11-02 02:45:58,C,C社,sales,営業部門,executive,役員,medium,中頻度,True,2,1,5,5,3,4,4,5,4,4,3,1,5,1,3,3,2,4,1,1,
42,142,2025-11-02 23:03:58,C,C社,finance,経理財務部門,staff,一般社員,low,低頻度,True,1,4,3,4,3,3,1,2,4,5,3,3,3,1,1,5,1,5,4,5,今後も継続して利用したいと思います。
43,143,2025-11-02 00:27:58,B,B社,hr,人事部門,specialist,スペシャリスト,low,低頻度,False,5,3,4,5,1,3,4,2,2,5,5,5,2,4,4,1,3,2,5,5,
44,144,2025-10-29 23:01:58,A,A社,business,業務部門,executive,役員,low,低頻度,False,3,5,1,1,4,4,5,3,5,2,1,4,4,5,1,1,1,3,2,1,
45,145,2025-11-22 23:02:58,A,A社,business,業務部門,executive,役員,high,高頻度,False,4,3,4,4,4,1,3,3,3,1,5,3,1,2,2,4,4,3,5,1,
46,146,2025-11-15 18:58:58,B,B社,finance,経理財務部門,specialist,スペシャリスト,low,低頻度,False,3,4,5,5,5,2,1,1,1,4,3,2,4,3,1,1,2,2,4,2,
47,147,2025-11-10 20:44:58,C,C社,finance,経理財務部門,executive,役員,low,低頻度,False,3,4,5,4,1,1,1,5,2,2,3,5,5,1,2,3,5,1,4,3,
48,148,2025-11-09 16:38:58,A,A社,it,IT部門,executive,役員,medium,中頻度,True,1,3,1,2,3,1,5,4,4,1,1,5,1,3,3,3,2,2,3,5,
49,149,2025-11-01 19:46:58,B,B社,business,業務部門,manager,マネージャー,low,低頻度,False,3,4,3,2,4,1,5,2,3,3,4,3,5,3,2,1,4,5,2,2,
50,150,2025-11-18 01:57:58,A,A社,it,IT部門,manager,マネージャー,high,高頻度,False,5,3,2,5,1,5,2,1,3,5,2,3,2,4,2,1,2,1,4,3,
51,151,2025-11-12 21:48:58,D,D社,sales,営業部門,staff,一般社員,high,高頻度,True,3,2,1,4,4,3,3,1,1,1,3,4,1,5,5,4,2,3,3,2,
52,152,2025-11-07 00:02:58,C,C社,business,業務部門,staff,一般社員,medium,中頻度,False,1,3,2,1,4,1,3,2,4,3,3,1,5,1,4,1,4,2,3,5,改善提案が的確で、ビジネスに貢献してくれています。
53,153,2025-10-30 00:49:58,D,D社,business,業務部門,staff,一般社員,high,高頻度,True,5,3,2,5,3,3,4,4,5,1,4,3,2,3,4,4,2,4,5,1,
54,154,2025-11-17 19:01:58,C,C社,logistics,物流部門,manager,マネージャー,high,高頻度,False,2,4,3,2,2,4,2,1,3,5,4,3,4,1,3,4,3,4,5,1,
55,155,2025-10-25 20:51:58,B,B社,hr,人事部門,staff,一般社員,low,低頻度,True,3,4,2,2,5,2,2,1,1,5,5,2,2,2,3,1,3,5,3,3,全体的に満足していますが、ドキュメントの質を向上してほしいです。
56,156,2025-11-14 02:58:58,C,C社,business,業務部門,executive,役員,low,低頻度,False,1,1,2,5,5,4,2,5,5,2,5,5,3,4,4,2,2,4,5,4,
57,157,2025-11-02 18:11:58,C,C社,sales,営業部門,manager,マネージャー,high,高頻度,False,2,1,3,4,3,4,2,4,4,4,2,1,2,2,5,2,5,2,4,3,全体的に満足していますが、ドキュメントの質を向上してほしいです。
58,158,2025-11-22 20:02:58,B,B社,it,IT部門,staff,一般社員,medium,中頻度,True,2,2,2,2,4,5,3,1,3,1,2,2,2,1,4,4,4,2,1,4,
59,159,2025-11-01 20:10:58,C,C社,it,IT部門,executive,役員,medium,中頻度,True,4,1,2,4,1,2,3,4,5,1,1,4,3,1,5,1,3,4,4,2,
60,160,2025-10-29 18:20:58,A,A社,logistics,物流部門,staff,一般社員,low,低頻度,True,5,3,2,2,4,4,2,2,5,3,5,4,5,5,3,2,5,2,3,2,
61,161,2025-10-24 19:49:58,B,B社,hr,人事部門,leader,リーダー,high,高頻度,True,3,4,1,2,3,4,4,3,5,5,3,3,5,3,1,1,2,5,3,5,
62,162,2025-11-11 17:48:58,B,B社,sales,営業部門,staff,一般社員,low,低頻度,True,1,1,1,3,5,2,1,1,3,1,5,3,2,3,3,1,5,1,4,4,もう少しコストを抑えられると助かります。
63,163,2025-11-06 02:55:58,B,B社,it,IT部門,leader,リーダー,medium,中頻度,True,4,1,1,2,4,2,1,5,3,5,3,4,3,2,3,1,1,5,5,5,
64,164,2025-10-29 22:50:58,D,D社,finance,経理財務部門,staff,一般社員,high,高頻度,True,5,2,3,1,5,4,4,2,2,1,4,3,3,4,2,5,3,5,5,1,
65,165,2025-11-04 19:28:58,D,D社,sales,営業部門,specialist,スペシャリスト,low,低頻度,True,4,2,5,5,1,2,2,4,4,2,5,1,4,3,2,1,2,2,3,4,全体的に満足していますが、ドキュメントの質を向上してほしいです。
66,166,2025-11-12 17:16:58,C,C社,sales,営業部門,staff,一般社員,low,低頻度,False,5,3,2,5,5,4,3,2,1,4,4,3,5,5,2,5,4,1,2,3,改善提案が的確で、ビジネスに貢献してくれています。
67,167,2025-11-16 18:08:58,B,B社,hr,人事部門,manager,マネージャー,medium,中頻度,False,5,4,2,4,5,4,1,1,5,1,2,5,1,2,2,4,2,2,5,1,全体的に満足していますが、ドキュメントの質を向上してほしいです。
68,168,2025-11-05 19:30:58,C,C社,it,IT部門,manager,マネージャー,low,低頻度,True,3,2,3,2,2,5,5,4,2,5,2,3,5,2,5,2,4,3,4,1,
69,169,2025-11-18 00:48:58,A,A社,sales,営業部門,leader,リーダー,medium,中頻度,False,5,1,2,1,2,1,5,3,1,2,1,2,5,5,4,2,2,2,5,3,
70,170,2025-10-25 00:34:58,B,B社,logistics,物流部門,manager,マネージャー,medium,中頻度,False,4,4,1,4,2,4,4,2,2,1,5,1,4,4,1,2,5,2,4,1,
71,171,2025-11-21 17:48:58,A,A社,logistics,物流部門,executive,役員,high,高頻度,False,5,4,5,3,5,3,2,1,3,3,4,2,1,5,3,2,5,2,3,4,もう少しコストを抑えられると助かります。
72,172,2025-10-28 00:01:58,C,C社,it,IT部門,specialist,スペシャリスト,high,高頻度,False,3,1,4,4,3,1,1,5,5,4,3,2,4,4,5,2,5,1,5,5,今後も継続して利用したいと思います。
73,173,2025-11-09 00:57:58,D,D社,logistics,物流部門,specialist,スペシャリスト,low,低頻度,True,3,2,2,4,5,1,2,4,1,1,2,5,1,5,1,2,1,2,4,1,
74,174,2025-11-02 23:58:58,C,C社,finance,経理財務部門,executive,役員,medium,中頻度,False,4,1,1,2,3,1,1,2,1,2,2,1,2,5,5,2,4,1,3,4,
75,175,2025-11-19 00:46:58,A,A社,hr,人事部門,leader,リーダー,medium,中頻度,True,2,4,4,3,3,5,4,2,1,3,3,1,1,1,5,4,5,4,2,2,
76,176,2025-11-19 00:47:58,B,B社,logistics,物流部門,executive,役員,high,高頻度,False,2,5,5,4,2,4,4,3,1,2,4,1,4,2,3,1,1,3,4,4,
77,177,2025-11-20 19:06:58,C,C社,logistics,物流部門,executive,役員,high,高頻度,False,5,5,4,1,4,5,5,3,1,2,4,1,5,5,4,3,4,1,2,5,
78,178,2025-11-19 23:47:58,B,B社,finance,経理財務部門,specialist,スペシャリスト,medium,中頻度,False,1,3,1,1,1,4,2,5,2,3,5,1,1,5,2,5,2,4,2,4,
79,179,2025-10-31 20:12:58,D,D社,hr,人事部門,staff,一般社員,high,高頻度,True,5,1,4,5,2,5,5,5,5,2,5,5,1,3,4,3,1,1,1,3,
80,180,2025-11-12 21:08:58,D,D社,sales,営業部門,specialist,スペシャリスト,low,低頻度,False,4,1,3,3,2,5,2,1,3,3,1,3,3,2,3,3,3,1,5,5,
81,181,2025-11-17 00:50:58,D,D社,hr,人事部門,specialist,スペシャリスト,medium,中頻度,True,4,3,4,3,4,3,5,1,3,1,2,2,5,3,3,1,1,3,4,2,
82,182,2025-11-12 19:36:58,B,B社,business,業務部門,manager,マネージャー,high,高頻度,False,4,3,2,5,1,5,3,5,3,3,5,1,2,2,3,1,1,5,2,3,
83,183,2025-11-06 18:04:58,C,C社,it,IT部門,executive,役員,low,低頻度,True,4,3,2,4,5,2,3,5,3,3,4,3,4,3,1,1,4,5,1,4,もう少しコストを抑えられると助かります。
84,184,2025-11-01 19:36:58,B,B社,it,IT部門,specialist,スペシャリスト,medium,中頻度,False,4,4,3,3,5,3,3,4,2,4,3,3,2,5,4,2,2,1,3,5,もう少しコストを抑えられると助かります。
85,185,2025-11-02 22:16:58,B,B社,business,業務部門,executive,役員,low,低頻度,True,3,1,1,1,2,5,3,3,4,3,4,2,5,5,4,4,3,2,4,2,改善提案が的確で、ビジネスに貢献してくれています。
86,186,2025-11-09 17:27:58,C,C社,finance,経理財務部門,manager,マネージャー,low,低頻度,True,2,4,2,1,1,1,1,1,5,3,2,5,1,1,5,2,5,4,2,3,
87,187,2025-10-27 19:43:58,D,D社,business,業務部門,executive,役員,medium,中頻度,False,4,3,5,2,2,2,3,3,1,1,4,4,1,3,5,4,5,2,5,2,もう少しコストを抑えられると助かります。
88,188,2025-11-14 19:04:58,D,D社,sales,営業部門,specialist,スペシャリスト,low,低頻度,True,1,1,2,3,3,2,4,3,4,4,1,4,5,4,5,4,1,2,1,4,
89,189,2025-10-29 17:45:58,C,C社,sales,営業部門,executive,役員,high,高頻度,False,1,4,2,4,2,2,4,5,3,5,2,3,1,1,3,3,4,1,2,2,
90,190,2025-11-05 21:53:58,B,B社,it,IT部門,manager,マネージャー,high,高頻度,False,1,4,1,5,2,3,1,4,4,1,3,2,1,3,4,3,4,1,5,1,
91,191,2025-11-06 22:22:58,B,B社,sales,営業部門,staff,一般社員,high,高頻度,False,1,3,4,5,5,5,3,2,5,1,1,4,1,3,3,4,5,1,2,3,
92,192,2025-10-29 22:43:58,D,D社,it,IT部門,executive,役員,low,低頻度,False,3,1,2,4,5,5,3,4,1,5,2,3,4,1,1,4,3,1,4,2,
93,193,2025-11-21 02:03:58,A,A社,business,業務部門,specialist,スペシャリスト,high,高頻度,False,1,3,3,2,5,1,3,4,1,3,3,5,4,5,5,2,2,5,4,4,
94,194,2025-10-24 01:43:58,A,A社,business,業務部門,manager,マネージャー,low,低頻度,False,4,1,4,5,3,1,5,3,5,2,1,4,3,3,3,2,3,1,4,4,
95,195,2025-11-07 16:41:58,A,A社,logistics,物流部門,specialist,スペシャリスト,high,高頻度,False,5,5,5,3,5,2,2,4,5,4,1,3,2,5,3,3,2,5,1,2,
96,196,2025-11-01 23:13:58,B,B社,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,False,1,2,1,2,1,1,5,1,3,2,2,3,5,1,1,1,5,5,4,4,
97,197,2025-11-20 22:53:58,B,B社,business,業務部門,executive,役員,low,低頻度,False,3,2,5,3,4,3,2,3,1,5,5,1,5,5,2,4,2,1,5,5,今後も継続して利用したいと思います。
98,198,2025-11-16 01:10:58,D,D社,it,IT部門,specialist,スペシャリスト,low,低頻度,False,3,2,4,1,1,5,3,1,4,1,1,5,5,2,4,2,4,3,2,5,
99,199,2025-11-11 19:50:58,A,A社,business,業務部門,executive,役員,high,高頻度,False,1,3,4,2,1,2,3,2,2,1,1,1,3,4,2,3,1,4,3,5,
100,200,2025-10-30 20:46:58,D,D社,business,業務部門,staff,一般社員,medium,中頻度,True,5,5,4,5,5,1,5,3,2,4,3,2,4,3,5,2,1,2,5,1,全体的に満足していますが、ドキュメントの質を向上してほしいです。
