response_id,respondent_id,timestamp,department,department_ja,role,role_ja,usage_frequency,usage_frequency_ja,incident_experience,vendor_id,vendor_name,performance_incident_response_speed,performance_sla_achievement,performance_problem_resolution,performance_communication_speed,performance_availability_maintenance,technical_expertise,technical_troubleshooting,technical_new_tech_adaptation,technical_documentation_quality,technical_proposal,business_process_understanding,business_impact_consideration,business_prioritization,business_stakeholder_management,business_cost_awareness,improvement_proposal_quality,improvement_proposal_frequency,improvement_proactive_attitude,improvement_innovation,improvement_long_term_perspective,comment
23,6,2025-11-11 04:01:50,it,IT部門,staff,一般社員,high,高頻度,False,C,C社,4,2,2,2,3,1,3,1,5,1,4,2,4,5,1,4,1,4,1,4,
24,6,2025-11-14 09:04:50,it,IT部門,staff,一般社員,high,高頻度,False,D,D社,1,1,4,2,2,2,5,2,1,2,5,3,2,1,2,4,2,4,2,4,
25,7,2025-11-21 04:44:50,it,IT部門,specialist,スペシャリスト,high,高頻度,True,A,A社,1,1,3,5,3,4,3,1,4,2,4,4,1,4,2,5,4,3,2,5,改善提案が的確で、ビジネスに貢献してくれています。
26,7,2025-10-31 00:10:50,it,IT部門,specialist,スペシャリスト,high,高頻度,True,B,B社,3,1,3,2,2,3,1,4,4,3,1,5,1,4,3,5,2,4,2,5,
27,7,2025-11-15 02:57:50,it,IT部門,specialist,スペシャリスト,high,高頻度,True,C,C社,3,5,3,4,2,4,1,3,4,1,3,2,3,1,5,5,3,2,4,4,
28,7,2025-11-03 01:02:50,it,IT部門,specialist,スペシャリスト,high,高頻度,True,D,D社,2,1,4,3,4,2,4,4,5,1,2,3,5,3,1,5,3,4,2,3,
29,8,2025-11-01 00:32:50,it,IT部門,leader,リーダー,high,高頻度,True,A,A社,4,5,5,2,2,5,4,5,5,4,1,2,1,5,4,1,4,4,1,1,
30,8,2025-11-02 06:48:50,it,IT部門,leader,リーダー,high,高頻度,True,B,B社,4,4,5,2,3,1,5,4,3,2,4,3,5,1,3,1,5,2,5,4,改善提案が的確で、ビジネスに貢献してくれています。
31,8,2025-11-20 04:18:50,it,IT部門,leader,リーダー,high,高頻度,True,C,C社,3,2,2,4,4,3,5,2,3,4,4,3,1,3,1,4,3,1,4,5,一部対応に遅れが見られることがあります。
32,8,2025-11-05 04:21:50,it,IT部門,leader,リーダー,high,高頻度,True,D,D社,4,2,5,1,4,5,5,2,3,5,1,5,1,1,3,2,4,5,1,2,
33,9,2025-11-15 03:52:50,logistics,物流部門,specialist,スペシャリスト,low,低頻度,True,A,A社,4,2,5,1,2,2,1,4,4,2,4,4,3,2,3,5,1,4,4,4,
34,9,2025-11-23 09:49:50,logistics,物流部門,specialist,スペシャリスト,low,低頻度,True,B,B社,1,2,3,5,5,4,3,5,5,5,2,3,4,4,5,2,5,2,4,4,
35,9,2025-10-27 08:48:50,logistics,物流部門,specialist,スペシャリスト,low,低頻度,True,C,C社,3,2,3,4,5,1,5,1,4,3,2,4,3,2,4,1,3,5,4,5,
36,9,2025-10-30 07:54:50,logistics,物流部門,specialist,スペシャリスト,low,低頻度,True,D,D社,5,2,2,3,4,3,5,2,3,2,4,5,1,2,1,5,4,3,3,5,今後も継続して利用したいと思います。
37,10,2025-11-01 01:37:50,business,業務部門,specialist,スペシャリスト,medium,中頻度,False,A,A社,3,2,1,3,2,5,1,4,5,4,4,4,4,5,3,1,4,1,5,3,
38,10,2025-11-06 04:07:50,business,業務部門,specialist,スペシャリスト,medium,中頻度,False,B,B社,5,4,2,4,5,5,1,4,2,4,2,1,4,3,3,1,1,4,2,5,改善提案が的確で、ビジネスに貢献してくれています。
39,10,2025-11-14 07:22:50,business,業務部門,specialist,スペシャリスト,medium,中頻度,False,C,C社,1,1,2,3,2,1,1,4,1,2,4,3,4,4,1,3,1,1,3,5,
40,10,2025-11-15 05:01:50,business,業務部門,specialist,スペシャリスト,medium,中頻度,False,D,D社,2,3,4,1,2,4,3,1,1,4,5,5,5,2,3,1,5,4,5,5,コミュニケーションが取りやすく、信頼できるパートナーです。
41,11,2025-11-17 23:22:50,logistics,物流部門,executive,役員,medium,中頻度,True,A,A社,4,5,4,3,4,2,5,3,3,2,3,2,1,4,3,4,3,4,2,2,技術的な知識が豊富で、安心して任せられます。
42,11,2025-11-19 23:59:50,logistics,物流部門,executive,役員,medium,中頻度,True,B,B社,1,3,2,3,4,4,2,5,4,1,5,5,2,3,3,1,4,4,3,4,
43,11,2025-11-04 05:25:50,logistics,物流部門,executive,役員,medium,中頻度,True,C,C社,4,3,2,4,1,4,2,3,2,4,4,3,3,1,2,5,5,1,3,4,
44,11,2025-10-27 03:06:50,logistics,物流部門,executive,役員,medium,中頻度,True,D,D社,2,1,2,4,5,4,5,5,5,2,4,5,5,2,2,4,5,3,1,5,
45,12,2025-11-24 09:04:50,logistics,物流部門,specialist,スペシャリスト,low,低頻度,True,A,A社,2,1,5,3,5,1,5,5,4,2,3,2,3,3,4,1,1,2,3,3,
46,12,2025-11-16 04:21:50,logistics,物流部門,specialist,スペシャリスト,low,低頻度,True,B,B社,1,1,4,2,5,1,5,4,3,4,4,1,2,4,5,4,4,2,4,5,
47,12,2025-11-14 06:33:50,logistics,物流部門,specialist,スペシャリスト,low,低頻度,True,C,C社,2,2,2,4,3,2,5,2,4,1,3,3,4,3,1,1,2,3,3,3,
48,12,2025-11-22 09:37:50,logistics,物流部門,specialist,スペシャリスト,low,低頻度,True,D,D社,5,4,3,5,2,4,3,4,3,4,2,3,2,1,5,4,1,3,4,4,
49,13,2025-10-29 03:16:50,sales,営業部門,leader,リーダー,high,高頻度,True,A,A社,2,2,3,5,4,1,2,1,1,2,3,5,3,3,5,2,4,4,5,3,
50,13,2025-11-01 07:42:50,sales,営業部門,leader,リーダー,high,高頻度,True,B,B社,4,4,5,1,5,2,4,5,1,1,3,4,2,4,2,3,5,4,5,3,
51,13,2025-11-02 08:35:50,sales,営業部門,leader,リーダー,high,高頻度,True,C,C社,4,4,5,3,1,2,2,2,4,5,5,4,1,2,4,4,5,2,4,1,
52,13,2025-11-22 08:33:50,sales,営業部門,leader,リーダー,high,高頻度,True,D,D社,4,3,1,2,5,4,2,5,2,3,4,2,2,2,5,5,3,4,1,3,今後も継続して利用したいと思います。
53,14,2025-11-05 02:16:50,business,業務部門,executive,役員,low,低頻度,True,A,A社,4,3,1,1,2,3,1,5,5,4,2,1,1,5,5,3,2,4,1,3,一部対応に遅れが見られることがあります。
54,14,2025-11-10 06:13:50,business,業務部門,executive,役員,low,低頻度,True,B,B社,5,4,1,3,2,4,5,4,3,2,1,1,2,4,3,3,1,3,5,2,
55,14,2025-11-18 00:03:50,business,業務部門,executive,役員,low,低頻度,True,C,C社,3,4,5,4,4,3,5,2,5,1,3,5,1,5,1,1,3,1,3,4,
56,14,2025-10-28 01:48:50,business,業務部門,executive,役員,low,低頻度,True,D,D社,1,2,5,5,3,2,5,2,1,1,1,5,1,5,4,4,3,5,5,5,
57,15,2025-10-30 09:35:50,sales,営業部門,manager,マネージャー,medium,中頻度,False,A,A社,4,2,5,2,4,1,1,5,2,5,4,4,2,1,1,3,2,5,5,1,
58,15,2025-11-13 00:32:50,sales,営業部門,manager,マネージャー,medium,中頻度,False,B,B社,2,3,3,5,5,5,3,2,2,4,3,1,5,4,2,5,1,4,4,3,コミュニケーションが取りやすく、信頼できるパートナーです。
59,15,2025-11-06 08:37:50,sales,営業部門,manager,マネージャー,medium,中頻度,False,C,C社,4,1,5,4,1,2,3,2,5,1,1,1,4,2,5,5,1,4,1,2,
60,15,2025-11-10 03:43:50,sales,営業部門,manager,マネージャー,medium,中頻度,False,D,D社,2,4,3,3,4,1,4,4,1,5,5,1,4,4,5,5,5,5,4,2,
61,16,2025-11-20 23:51:50,hr,人事部門,leader,リーダー,low,低頻度,True,A,A社,2,2,1,4,3,2,3,3,5,2,1,2,4,1,1,1,1,3,5,5,
62,16,2025-11-17 00:51:50,hr,人事部門,leader,リーダー,low,低頻度,True,B,B社,4,3,1,4,4,4,3,1,4,5,5,2,1,4,2,2,3,5,2,5,もう少しコストを抑えられると助かります。
63,16,2025-11-22 07:56:50,hr,人事部門,leader,リーダー,low,低頻度,True,C,C社,5,2,1,5,2,3,5,3,2,4,2,5,4,4,3,4,5,5,3,4,
64,16,2025-11-02 09:29:50,hr,人事部門,leader,リーダー,low,低頻度,True,D,D社,2,4,2,2,5,2,2,2,2,5,4,4,1,5,3,3,1,5,5,3,
65,17,2025-10-28 03:35:50,business,業務部門,executive,役員,low,低頻度,False,A,A社,2,4,2,4,5,1,3,5,4,1,1,3,5,4,5,4,2,4,4,2,
66,17,2025-10-30 06:08:50,business,業務部門,executive,役員,low,低頻度,False,B,B社,4,5,4,5,5,4,3,1,1,1,3,4,2,5,5,3,3,4,2,1,
67,17,2025-11-24 03:40:50,business,業務部門,executive,役員,low,低頻度,False,C,C社,2,1,4,2,5,5,1,1,2,3,4,2,2,5,4,1,4,5,2,4,改善提案が的確で、ビジネスに貢献してくれています。
68,17,2025-11-18 01:40:50,business,業務部門,executive,役員,low,低頻度,False,D,D社,2,5,4,3,5,4,4,5,3,5,1,2,1,3,1,4,2,4,5,3,
69,18,2025-11-23 01:03:50,business,業務部門,executive,役員,medium,中頻度,False,A,A社,4,3,2,3,5,3,1,1,3,2,3,5,1,1,5,1,2,5,1,5,コミュニケーションが取りやすく、信頼できるパートナーです。
70,18,2025-11-14 04:01:50,business,業務部門,executive,役員,medium,中頻度,False,B,B社,4,2,2,1,1,4,5,5,1,4,3,3,5,5,2,1,1,3,2,3,技術的な知識が豊富で、安心して任せられます。
71,18,2025-11-14 07:46:50,business,業務部門,executive,役員,medium,中頻度,False,C,C社,1,3,4,5,3,5,2,1,4,3,3,1,4,4,1,4,5,4,3,5,
72,18,2025-10-31 01:31:50,business,業務部門,executive,役員,medium,中頻度,False,D,D社,5,4,4,2,5,1,4,3,5,5,3,3,5,5,4,4,5,1,4,3,
73,19,2025-11-18 01:42:50,business,業務部門,specialist,スペシャリスト,medium,中頻度,False,A,A社,5,5,5,4,3,2,1,1,1,2,1,3,2,5,3,3,3,4,4,1,技術的な知識が豊富で、安心して任せられます。
74,19,2025-11-24 08:06:50,business,業務部門,specialist,スペシャリスト,medium,中頻度,False,B,B社,2,5,4,3,5,3,3,4,5,3,2,3,2,5,4,5,1,3,4,4,
75,19,2025-10-25 08:28:50,business,業務部門,specialist,スペシャリスト,medium,中頻度,False,C,C社,5,5,5,2,4,5,3,5,1,1,5,5,4,2,1,1,5,3,5,5,
76,19,2025-11-08 23:15:50,business,業務部門,specialist,スペシャリスト,medium,中頻度,False,D,D社,2,3,3,5,5,3,4,1,3,4,5,2,2,2,3,2,4,4,4,1,
77,20,2025-11-23 05:04:50,it,IT部門,manager,マネージャー,high,高頻度,True,A,A社,1,4,2,1,2,4,3,5,4,5,5,1,1,2,2,3,1,2,4,2,今後も継続して利用したいと思います。
78,20,2025-11-20 03:23:50,it,IT部門,manager,マネージャー,high,高頻度,True,B,B社,4,2,4,3,1,3,1,4,3,2,2,3,2,2,3,3,1,5,3,1,
79,20,2025-10-26 03:04:50,it,IT部門,manager,マネージャー,high,高頻度,True,C,C社,4,2,2,2,4,5,1,1,4,1,3,1,3,3,3,5,5,5,1,1,
80,20,2025-11-12 00:13:50,it,IT部門,manager,マネージャー,high,高頻度,True,D,D社,4,3,2,2,4,2,3,1,5,3,3,3,4,5,2,5,2,3,5,1,
81,21,2025-11-17 07:00:50,it,IT部門,leader,リーダー,high,高頻度,False,A,A社,5,5,2,2,2,2,3,4,1,4,4,2,4,3,5,1,1,4,5,5,
82,21,2025-10-27 07:57:50,it,IT部門,leader,リーダー,high,高頻度,False,B,B社,1,1,3,5,5,3,5,4,2,3,5,1,4,4,5,3,2,2,4,2,一部対応に遅れが見られることがあります。
83,21,2025-10-29 01:50:50,it,IT部門,leader,リーダー,high,高頻度,False,C,C社,5,3,1,5,1,1,2,4,2,3,5,4,3,1,3,3,3,1,3,4,一部対応に遅れが見られることがあります。
84,21,2025-11-09 07:18:50,it,IT部門,leader,リーダー,high,高頻度,False,D,D社,5,3,4,5,4,3,4,5,4,2,3,2,5,3,3,2,3,5,2,1,
85,22,2025-11-02 08:03:50,sales,営業部門,leader,リーダー,medium,中頻度,True,A,A社,1,4,1,4,1,4,1,4,4,1,5,1,1,2,4,1,5,2,4,5,
86,22,2025-11-13 05:21:50,sales,営業部門,leader,リーダー,medium,中頻度,True,B,B社,1,2,1,2,4,2,4,5,3,5,3,3,4,2,5,1,3,5,4,5,
87,22,2025-11-23 07:56:50,sales,営業部門,leader,リーダー,medium,中頻度,True,C,C社,1,3,1,3,5,2,5,3,2,2,3,3,2,4,2,5,5,4,5,4,
88,22,2025-11-17 02:53:50,sales,営業部門,leader,リーダー,medium,中頻度,True,D,D社,1,3,2,5,4,2,1,1,3,4,3,2,1,5,3,1,5,5,5,3,
89,23,2025-11-03 05:50:50,sales,営業部門,specialist,スペシャリスト,high,高頻度,False,A,A社,4,5,5,5,4,1,5,1,5,3,1,2,2,1,3,2,2,1,4,2,
90,23,2025-11-14 04:36:50,sales,営業部門,specialist,スペシャリスト,high,高頻度,False,B,B社,3,5,2,2,3,1,5,2,2,4,1,3,1,3,4,1,2,4,5,2,
91,23,2025-11-22 07:36:50,sales,営業部門,specialist,スペシャリスト,high,高頻度,False,C,C社,3,1,2,5,5,5,3,3,5,2,1,1,1,5,4,4,3,3,3,1,
92,23,2025-10-28 02:22:50,sales,営業部門,specialist,スペシャリスト,high,高頻度,False,D,D社,1,4,1,4,2,3,4,4,1,2,1,4,2,5,4,4,2,2,2,3,
93,24,2025-10-27 04:09:50,business,業務部門,manager,マネージャー,medium,中頻度,False,A,A社,3,1,2,4,2,3,4,4,3,5,2,5,2,3,1,2,1,5,2,2,一部対応に遅れが見られることがあります。
94,24,2025-11-12 07:22:50,business,業務部門,manager,マネージャー,medium,中頻度,False,B,B社,3,5,1,5,5,4,3,3,4,3,4,2,1,3,2,5,4,4,2,1,
95,24,2025-11-12 02:08:50,business,業務部門,manager,マネージャー,medium,中頻度,False,C,C社,1,2,5,2,2,2,4,4,2,2,4,3,4,3,1,3,1,4,4,3,
96,24,2025-10-27 09:11:50,business,業務部門,manager,マネージャー,medium,中頻度,False,D,D社,3,5,4,2,5,1,3,2,3,4,3,1,2,3,3,1,1,5,4,5,
97,25,2025-11-01 01:05:50,sales,営業部門,leader,リーダー,low,低頻度,False,A,A社,5,4,1,2,2,4,1,5,4,5,5,2,3,2,4,5,5,3,4,1,全体的に満足していますが、ドキュメントの質を向上してほしいです。
98,25,2025-10-26 04:12:50,sales,営業部門,leader,リーダー,low,低頻度,False,B,B社,2,5,5,1,3,4,5,1,1,4,1,1,3,5,4,5,4,5,3,3,一部対応に遅れが見られることがあります。
99,25,2025-11-10 02:25:50,sales,営業部門,leader,リーダー,low,低頻度,False,C,C社,2,4,4,5,2,1,5,3,2,3,4,2,1,5,4,1,5,3,2,4,コミュニケーションが取りやすく、信頼できるパートナーです。
100,25,2025-11-15 06:21:50,sales,営業部門,leader,リーダー,low,低頻度,False,D,D社,1,4,3,2,4,3,4,1,5,5,4,3,5,2,5,3,2,5,5,2,
101,26,2025-11-11 01:54:50,it,IT部門,manager,マネージャー,high,高頻度,False,A,A社,4,4,1,4,5,2,2,5,1,5,1,1,1,5,2,1,2,4,5,1,
102,26,2025-11-23 08:44:50,it,IT部門,manager,マネージャー,high,高頻度,False,B,B社,1,4,1,3,1,3,5,3,4,5,2,3,1,3,1,3,4,1,1,5,
103,26,2025-11-09 02:58:50,it,IT部門,manager,マネージャー,high,高頻度,False,C,C社,4,4,3,3,1,4,3,5,2,1,2,1,4,1,2,2,3,1,1,1,
104,26,2025-11-09 05:20:50,it,IT部門,manager,マネージャー,high,高頻度,False,D,D社,2,2,3,2,5,2,2,4,2,5,4,2,4,5,4,3,2,4,5,2,
105,27,2025-10-28 00:50:50,logistics,物流部門,leader,リーダー,medium,中頻度,False,A,A社,1,1,1,3,3,5,2,4,1,4,2,5,5,1,3,5,1,1,2,2,
106,27,2025-11-07 04:35:50,logistics,物流部門,leader,リーダー,medium,中頻度,False,B,B社,5,3,3,3,2,4,5,4,2,4,1,5,5,1,5,2,4,3,4,3,
107,27,2025-11-07 07:03:50,logistics,物流部門,leader,リーダー,medium,中頻度,False,C,C社,3,1,2,1,3,3,5,5,4,3,4,4,5,2,2,4,4,4,5,5,
108,27,2025-11-16 23:51:50,logistics,物流部門,leader,リーダー,medium,中頻度,False,D,D社,4,4,4,4,1,3,5,5,1,2,1,4,5,4,3,2,2,3,5,3,
109,28,2025-11-14 09:14:50,logistics,物流部門,specialist,スペシャリスト,low,低頻度,False,A,A社,3,2,4,4,5,3,3,5,5,2,2,3,5,5,4,3,2,4,1,5,
110,28,2025-10-26 05:54:50,logistics,物流部門,specialist,スペシャリスト,low,低頻度,False,B,B社,3,5,4,1,5,1,2,1,1,1,1,1,1,2,4,2,5,3,2,1,
111,28,2025-11-04 00:23:50,logistics,物流部門,specialist,スペシャリスト,low,低頻度,False,C,C社,1,2,2,1,3,4,4,5,1,5,2,4,1,2,4,2,5,3,5,1,一部対応に遅れが見られることがあります。
112,28,2025-10-31 02:42:50,logistics,物流部門,specialist,スペシャリスト,low,低頻度,False,D,D社,3,4,3,3,3,2,3,4,5,1,2,2,3,1,4,4,1,1,4,3,
113,29,2025-11-08 01:35:50,logistics,物流部門,staff,一般社員,low,低頻度,False,A,A社,5,2,5,5,2,3,1,2,4,3,1,5,3,5,5,3,4,4,4,4,全体的に満足していますが、ドキュメントの質を向上してほしいです。
114,29,2025-10-30 03:37:50,logistics,物流部門,staff,一般社員,low,低頻度,False,B,B社,3,2,3,3,4,3,5,5,3,3,2,1,2,2,5,5,3,5,3,2,
115,29,2025-11-01 00:36:50,logistics,物流部門,staff,一般社員,low,低頻度,False,C,C社,1,4,1,1,4,1,2,2,3,2,3,5,1,3,2,2,3,1,4,3,
116,29,2025-11-19 07:14:50,logistics,物流部門,staff,一般社員,low,低頻度,False,D,D社,5,2,4,4,2,2,3,4,5,3,1,1,5,2,4,1,4,3,5,3,
117,30,2025-10-26 09:42:50,sales,営業部門,leader,リーダー,medium,中頻度,False,A,A社,2,3,3,3,4,4,1,5,4,5,3,4,2,3,5,5,1,3,5,1,
118,30,2025-11-19 23:13:50,sales,営業部門,leader,リーダー,medium,中頻度,False,B,B社,3,3,5,5,1,5,3,1,2,4,1,4,4,4,3,2,5,5,4,2,
119,30,2025-11-23 02:18:50,sales,営業部門,leader,リーダー,medium,中頻度,False,C,C社,1,2,1,3,4,1,3,1,5,3,2,3,1,3,5,5,5,5,1,3,
120,30,2025-11-07 06:38:50,sales,営業部門,leader,リーダー,medium,中頻度,False,D,D社,2,5,2,2,2,4,4,2,3,1,2,1,3,3,5,1,5,3,2,1,全体的に満足していますが、ドキュメントの質を向上してほしいです。
121,31,2025-10-31 06:05:50,hr,人事部門,executive,役員,medium,中頻度,True,A,A社,2,4,2,3,4,5,4,1,4,5,4,2,1,1,2,5,3,5,5,1,
122,31,2025-10-26 01:32:50,hr,人事部門,executive,役員,medium,中頻度,True,B,B社,4,3,5,1,5,3,3,1,1,3,4,4,1,2,5,5,3,2,4,3,
123,31,2025-10-25 05:24:50,hr,人事部門,executive,役員,medium,中頻度,True,C,C社,5,5,1,4,3,3,1,1,4,3,3,3,1,4,3,1,1,1,4,3,
124,31,2025-11-23 06:26:50,hr,人事部門,executive,役員,medium,中頻度,True,D,D社,3,2,4,4,1,2,2,4,4,5,2,4,1,2,4,1,3,4,5,1,
125,32,2025-11-07 07:50:50,it,IT部門,executive,役員,low,低頻度,True,A,A社,1,5,3,1,5,5,2,1,3,3,4,5,4,3,1,1,2,5,3,3,
126,32,2025-11-16 06:17:50,it,IT部門,executive,役員,low,低頻度,True,B,B社,4,1,1,2,5,3,5,3,3,4,2,4,3,3,2,4,3,5,2,2,
127,32,2025-10-31 03:21:50,it,IT部門,executive,役員,low,低頻度,True,C,C社,5,3,2,1,2,3,5,5,2,2,1,1,1,2,3,1,5,2,5,1,もう少しコストを抑えられると助かります。
128,32,2025-11-23 23:45:50,it,IT部門,executive,役員,low,低頻度,True,D,D社,4,2,5,3,3,2,2,1,2,5,4,3,4,4,2,5,1,4,4,1,
129,33,2025-11-17 07:11:50,hr,人事部門,staff,一般社員,low,低頻度,False,A,A社,5,4,5,1,3,4,3,1,5,1,3,1,2,4,4,1,4,2,3,3,
130,33,2025-11-17 04:11:50,hr,人事部門,staff,一般社員,low,低頻度,False,B,B社,5,2,3,1,1,3,3,1,1,3,4,2,1,1,5,2,4,4,5,3,
131,33,2025-10-26 08:38:50,hr,人事部門,staff,一般社員,low,低頻度,False,C,C社,3,4,5,2,2,1,4,3,2,2,2,2,4,3,5,1,1,1,2,3,技術的な知識が豊富で、安心して任せられます。
132,33,2025-11-10 07:18:50,hr,人事部門,staff,一般社員,low,低頻度,False,D,D社,5,2,5,3,1,1,4,1,3,1,5,4,5,3,3,1,2,5,3,2,
133,34,2025-10-26 07:13:50,sales,営業部門,leader,リーダー,medium,中頻度,False,A,A社,4,5,1,5,4,4,5,1,4,1,5,3,2,1,4,3,4,1,4,1,一部対応に遅れが見られることがあります。
134,34,2025-11-21 01:12:50,sales,営業部門,leader,リーダー,medium,中頻度,False,B,B社,5,5,4,5,5,5,2,5,5,4,2,3,3,2,1,5,5,4,1,4,改善提案が的確で、ビジネスに貢献してくれています。
135,34,2025-11-13 00:51:50,sales,営業部門,leader,リーダー,medium,中頻度,False,C,C社,3,5,3,4,1,2,3,3,2,2,1,3,1,3,1,5,4,5,2,2,一部対応に遅れが見られることがあります。
136,34,2025-11-21 02:33:50,sales,営業部門,leader,リーダー,medium,中頻度,False,D,D社,3,1,1,1,5,1,2,3,4,5,4,3,1,2,5,2,4,2,3,2,一部対応に遅れが見られることがあります。
137,35,2025-10-28 08:23:50,finance,経理財務部門,executive,役員,medium,中頻度,False,A,A社,4,4,4,4,2,1,1,1,4,2,5,4,4,4,4,4,5,3,5,1,全体的に満足していますが、ドキュメントの質を向上してほしいです。
138,35,2025-11-12 08:10:50,finance,経理財務部門,executive,役員,medium,中頻度,False,B,B社,2,5,1,2,4,4,2,3,2,2,1,1,3,5,4,3,3,2,5,4,
139,35,2025-11-13 00:34:50,finance,経理財務部門,executive,役員,medium,中頻度,False,C,C社,2,1,1,5,2,5,1,2,1,1,2,4,5,1,3,2,2,3,3,1,技術的な知識が豊富で、安心して任せられます。
140,35,2025-11-15 08:44:50,finance,経理財務部門,executive,役員,medium,中頻度,False,D,D社,5,4,5,1,4,5,4,3,1,4,1,1,2,3,1,2,5,2,5,2,対応は迅速でしたが、もう少し詳細な説明が欲しかったです。
141,36,2025-11-10 05:07:50,business,業務部門,executive,役員,low,低頻度,True,A,A社,1,2,4,2,4,4,4,3,5,4,2,5,3,1,3,5,5,4,3,3,
142,36,2025-11-02 02:50:50,business,業務部門,executive,役員,low,低頻度,True,B,B社,5,1,3,2,5,1,5,3,1,2,4,5,1,4,2,3,1,1,2,1,
