案件ID,案件名,活動開始月,活動終了月,初期投資金額,運用費,システム利用開始時期,稼働開始日,稼働年度,活動期間月数,プロジェクト規模,プロジェクト規模_英語,推定人月,技術領域,プロジェクト種別,スキル構成比キー
PRJ0027,新規人事システム移行プロジェクト,2024/04,2024/10,23000,1500,2025/07/20,2025-07-20,2025,7,極小規模,extra_small,13,従来型,移行,extra_small_移行
PRJ0028,DX推進会計システム導入プロジェクト,2025/05,2025/12,19000,1500,2026/01/26,2026-01-26,2026,8,極小規模,extra_small,10,DX/デジタル,導入,extra_small_導入
PRJ0029,新規基幹システム構築プロジェクト,2025/09,2027/03,55000,6700,2026/12/05,2026-12-05,2026,19,小規模,small,31,従来型,新規開発,small_新規開発
PRJ0030,次世代在庫管理システム刷新プロジェクト,2026/03,2027/07,56000,6400,2028/01/10,2028-01-10,2028,17,小規模,small,32,従来型,刷新,small_刷新
PRJ0031,次世代販売管理システム開発プロジェクト,2024/09,2025/02,32000,3700,2027/02/09,2027-02-09,2027,6,極小規模,extra_small,18,従来型,新規開発,extra_small_新規開発
PRJ0032,クラウド販売管理システム構築プロジェクト,2026/12,2028/07,11000,2000,2025/07/15,2025-07-15,2025,20,極小規模,extra_small,6,クラウド,新規開発,extra_small_新規開発
PRJ0033,新規顧客管理システム開発プロジェクト,2025/02,2025/12,36000,7000,2027/10/25,2027-10-25,2027,11,小規模,small,20,従来型,新規開発,small_新規開発
PRJ0034,次世代在庫管理システム構築プロジェクト,2024/04,2025/07,85000,9600,2026/02/19,2026-02-19,2026,16,小規模,small,48,従来型,新規開発,small_新規開発
PRJ0035,次世代在庫管理システム刷新プロジェクト,2024/04,2026/04,37000,2600,2027/10/06,2027-10-06,2027,25,小規模,small,21,従来型,刷新,small_刷新
PRJ0036,次世代販売管理システム開発プロジェクト,2026/01,2027/11,61000,3700,2025/10/16,2025-10-16,2025,23,小規模,small,34,従来型,新規開発,small_新規開発
PRJ0037,新規会計システム導入プロジェクト,2026/04,2027/01,31000,5600,2026/05/10,2026-05-10,2026,10,極小規模,extra_small,17,従来型,導入,extra_small_導入
PRJ0038,クラウド会計システム移行プロジェクト,2026/07,2027/06,94000,14000,2025/10/26,2025-10-26,2025,12,中規模,medium,53,クラウド,移行,medium_移行
PRJ0039,次世代人事システム刷新プロジェクト,2026/04,2027/07,36000,6400,2027/03/28,2027-03-28,2027,16,小規模,small,20,従来型,刷新,small_刷新
PRJ0040,AI活用会計システム刷新プロジェクト,2026/03,2028/03,54000,4900,2026/08/20,2026-08-20,2026,25,小規模,small,30,AI/ML,刷新,small_刷新
PRJ0041,DX推進ECサイト刷新プロジェクト,2024/10,2025/06,92000,8800,2026/05/30,2026-05-30,2026,9,中規模,medium,52,DX/デジタル,刷新,medium_刷新
PRJ0042,次世代ECサイト導入プロジェクト,2024/12,2025/10,16000,2700,2025/11/22,2025-11-22,2025,11,極小規模,extra_small,9,従来型,導入,extra_small_導入
PRJ0043,新規顧客管理システム移行プロジェクト,2026/10,2028/08,27000,3100,2026/01/22,2026-01-22,2026,23,極小規模,extra_small,15,従来型,移行,extra_small_移行
PRJ0044,次世代ECサイト移行プロジェクト,2025/11,2027/08,97000,18000,2026/03/05,2026-03-05,2026,22,中規模,medium,55,従来型,移行,medium_移行
PRJ0045,次世代顧客管理システム導入プロジェクト,2025/12,2026/12,88000,6800,2027/12/16,2027-12-16,2027,13,中規模,medium,50,従来型,導入,medium_導入
PRJ0046,AI活用販売管理システム構築プロジェクト,2024/06,2024/12,89000,12000,2027/01/05,2027-01-05,2027,7,中規模,medium,50,AI/ML,新規開発,medium_新規開発
PRJ0047,クラウドECサイト移行プロジェクト,2024/11,2026/01,23000,2500,2027/01/03,2027-01-03,2027,15,極小規模,extra_small,13,クラウド,移行,extra_small_移行
PRJ0048,DX推進人事システム移行プロジェクト,2025/03,2025/10,56000,6500,2025/06/28,2025-06-28,2025,8,小規模,small,32,DX/デジタル,移行,small_移行
PRJ0049,クラウドECサイト移行プロジェクト,2024/04,2026/01,91000,16000,2026/04/09,2026-04-09,2026,22,中規模,medium,52,クラウド,移行,medium_移行
PRJ0050,DX推進顧客管理システム構築プロジェクト,2025/06,2026/10,26000,3200,2026/06/20,2026-06-20,2026,17,極小規模,extra_small,14,DX/デジタル,新規開発,extra_small_新規開発
PRJ0051,DX推進顧客管理システム刷新プロジェクト,2024/04,2024/09,36000,4200,2026/02/24,2026-02-24,2026,6,小規模,small,20,DX/デジタル,刷新,small_刷新
PRJ0052,AI活用会計システム開発プロジェクト,2026/01,2027/07,16000,1800,2027/05/02,2027-05-02,2027,19,極小規模,extra_small,9,AI/ML,新規開発,extra_small_新規開発
PRJ0053,次世代会計システム移行プロジェクト,2026/05,2026/10,55000,4600,2027/01/21,2027-01-21,2027,6,小規模,small,31,従来型,移行,small_移行
PRJ0054,次世代ECサイト導入プロジェクト,2024/08,2026/06,26000,4800,2027/03/11,2027-03-11,2027,23,極小規模,extra_small,14,従来型,導入,extra_small_導入
PRJ0055,統合人事システム構築プロジェクト,2025/04,2027/03,82000,9100,2027/04/29,2027-04-29,2027,24,小規模,small,46,従来型,新規開発,small_新規開発
PRJ0056,既存ECサイト刷新プロジェクト,2024/05,2025/09,14000,2500,2025/05/01,2025-05-01,2025,17,極小規模,extra_small,8,従来型,刷新,extra_small_刷新
PRJ0057,新規ECサイト開発プロジェクト,2024/12,2025/06,30000,3800,2026/09/10,2026-09-10,2026,7,極小規模,extra_small,17,従来型,新規開発,extra_small_新規開発
PRJ0058,クラウド人事システム導入プロジェクト,2026/02,2027/07,32000,3000,2027/11/29,2027-11-29,2027,18,極小規模,extra_small,18,クラウド,導入,extra_small_導入
PRJ0059,DX推進人事システム構築プロジェクト,2024/10,2025/01,16000,2700,2027/12/28,2027-12-28,2027,4,極小規模,extra_small,9,DX/デジタル,新規開発,extra_small_新規開発
PRJ0060,統合基幹システム開発プロジェクト,2025/05,2025/10,12000,1300,2026/11/29,2026-11-29,2026,6,極小規模,extra_small,6,従来型,新規開発,extra_small_新規開発
PRJ0061,既存会計システム構築プロジェクト,2024/10,2025/11,68000,4300,2026/06/24,2026-06-24,2026,14,小規模,small,38,従来型,新規開発,small_新規開発
PRJ0062,新規人事システム開発プロジェクト,2025/10,2027/02,72000,10000,2027/03/24,2027-03-24,2027,17,小規模,small,41,従来型,新規開発,small_新規開発
PRJ0063,次世代顧客管理システム移行プロジェクト,2025/02,2026/10,76000,10000,2027/10/05,2027-10-05,2027,21,小規模,small,43,従来型,移行,small_移行
PRJ0064,AI活用在庫管理システム開発プロジェクト,2024/12,2025/09,49000,7700,2027/12/26,2027-12-26,2027,10,小規模,small,28,AI/ML,新規開発,small_新規開発
PRJ0065,統合在庫管理システム導入プロジェクト,2026/04,2026/07,93000,15000,2026/02/09,2026-02-09,2026,4,中規模,medium,53,従来型,導入,medium_導入
PRJ0066,新規基幹システム開発プロジェクト,2025/05,2026/02,59000,6200,2025/08/30,2025-08-30,2025,10,小規模,small,33,従来型,新規開発,small_新規開発
PRJ0067,AI活用顧客管理システム導入プロジェクト,2026/03,2027/03,94000,13000,2026/11/15,2026-11-15,2026,13,中規模,medium,53,AI/ML,導入,medium_導入
PRJ0068,既存販売管理システム構築プロジェクト,2026/06,2027/09,92000,6200,2026/01/15,2026-01-15,2026,16,中規模,medium,52,従来型,新規開発,medium_新規開発
PRJ0069,DX推進在庫管理システム導入プロジェクト,2025/04,2025/09,87000,6200,2025/01/26,2025-01-26,2025,6,小規模,small,49,DX/デジタル,導入,small_導入
PRJ0070,既存基幹システム移行プロジェクト,2026/10,2027/06,53000,4000,2026/01/27,2026-01-27,2026,9,小規模,small,30,従来型,移行,small_移行
PRJ0071,次世代ECサイト開発プロジェクト,2025/12,2027/11,68000,12000,2026/01/22,2026-01-22,2026,24,小規模,small,38,従来型,新規開発,small_新規開発
PRJ0072,DX推進基幹システム導入プロジェクト,2025/09,2026/02,85000,14000,2025/10/15,2025-10-15,2025,6,小規模,small,48,DX/デジタル,導入,small_導入
PRJ0073,新規会計システム開発プロジェクト,2024/09,2025/02,40000,3600,2026/04/06,2026-04-06,2026,6,小規模,small,22,従来型,新規開発,small_新規開発
PRJ0074,DX推進販売管理システム導入プロジェクト,2024/01,2024/05,21000,3700,2026/12/05,2026-12-05,2026,5,極小規模,extra_small,12,DX/デジタル,導入,extra_small_導入
PRJ0075,既存顧客管理システム移行プロジェクト,2024/03,2025/03,64000,7800,2025/07/06,2025-07-06,2025,13,小規模,small,36,従来型,移行,small_移行
PRJ0076,既存ECサイト刷新プロジェクト,2025/11,2026/02,21000,1300,2026/10/12,2026-10-12,2026,4,極小規模,extra_small,12,従来型,刷新,extra_small_刷新
PRJ0077,新規在庫管理システム開発プロジェクト,2026/08,2027/07,46000,6100,2027/04/30,2027-04-30,2027,12,小規模,small,26,従来型,新規開発,small_新規開発
PRJ0078,次世代人事システム開発プロジェクト,2024/10,2025/12,97000,18000,2027/09/20,2027-09-20,2027,15,中規模,medium,55,従来型,新規開発,medium_新規開発
PRJ0079,既存ECサイト開発プロジェクト,2024/02,2024/06,95000,15000,2027/04/04,2027-04-04,2027,5,中規模,medium,54,従来型,新規開発,medium_新規開発
PRJ0080,クラウド顧客管理システム開発プロジェクト,2024/11,2026/07,71000,12000,2026/10/03,2026-10-03,2026,21,小規模,small,40,クラウド,新規開発,small_新規開発
PRJ0081,新規人事システム開発プロジェクト,2024/08,2025/01,92000,4900,2026/09/10,2026-09-10,2026,6,中規模,medium,52,従来型,新規開発,medium_新規開発
PRJ0082,クラウド在庫管理システム開発プロジェクト,2024/09,2026/03,89000,5600,2027/01/15,2027-01-15,2027,19,中規模,medium,50,クラウド,新規開発,medium_新規開発
PRJ0083,AI活用人事システム構築プロジェクト,2026/10,2027/06,55000,4900,2026/02/08,2026-02-08,2026,9,小規模,small,31,AI/ML,新規開発,small_新規開発
PRJ0084,次世代基幹システム刷新プロジェクト,2025/02,2026/02,98000,6400,2027/09/20,2027-09-20,2027,13,中規模,medium,56,従来型,刷新,medium_刷新
PRJ0085,DX推進在庫管理システム導入プロジェクト,2025/07,2026/02,63000,3600,2026/04/05,2026-04-05,2026,8,小規模,small,36,DX/デジタル,導入,small_導入
PRJ0086,次世代人事システム移行プロジェクト,2026/09,2027/04,21000,1000,2027/06/06,2027-06-06,2027,8,極小規模,extra_small,12,従来型,移行,extra_small_移行
PRJ0087,既存会計システム導入プロジェクト,2024/06,2026/04,43000,5700,2025/08/20,2025-08-20,2025,23,小規模,small,24,従来型,導入,small_導入
PRJ0088,AI活用販売管理システム移行プロジェクト,2024/09,2026/05,17000,3300,2026/11/27,2026-11-27,2026,21,極小規模,extra_small,9,AI/ML,移行,extra_small_移行
PRJ0089,次世代基幹システム刷新プロジェクト,2025/04,2026/07,86000,14000,2027/01/27,2027-01-27,2027,16,小規模,small,49,従来型,刷新,small_刷新
PRJ0090,次世代顧客管理システム刷新プロジェクト,2025/03,2025/12,98000,18000,2027/12/08,2027-12-08,2027,10,中規模,medium,56,従来型,刷新,medium_刷新
PRJ0091,AI活用基幹システム導入プロジェクト,2026/08,2028/08,57000,4500,2027/05/07,2027-05-07,2027,25,小規模,small,32,AI/ML,導入,small_導入
PRJ0092,既存在庫管理システム移行プロジェクト,2024/11,2025/04,30000,1600,2026/11/13,2026-11-13,2026,6,極小規模,extra_small,17,従来型,移行,extra_small_移行
PRJ0093,統合販売管理システム刷新プロジェクト,2025/03,2025/07,88000,15000,2026/12/12,2026-12-12,2026,5,中規模,medium,50,従来型,刷新,medium_刷新
PRJ0094,新規会計システム移行プロジェクト,2026/01,2028/01,68000,8200,2026/04/04,2026-04-04,2026,25,小規模,small,38,従来型,移行,small_移行
PRJ0095,既存顧客管理システム導入プロジェクト,2026/09,2027/08,63000,5500,2025/02/14,2025-02-14,2025,12,小規模,small,36,従来型,導入,small_導入
PRJ0096,既存会計システム構築プロジェクト,2024/05,2025/12,28000,1700,2026/09/09,2026-09-09,2026,20,極小規模,extra_small,16,従来型,新規開発,extra_small_新規開発
PRJ0097,クラウド販売管理システム導入プロジェクト,2024/04,2025/12,22000,3000,2027/11/15,2027-11-15,2027,21,極小規模,extra_small,12,クラウド,導入,extra_small_導入
PRJ0098,DX推進ECサイト開発プロジェクト,2026/09,2027/10,64000,7800,2026/06/24,2026-06-24,2026,14,小規模,small,36,DX/デジタル,新規開発,small_新規開発
PRJ0099,DX推進基幹システム開発プロジェクト,2024/06,2026/04,73000,5800,2028/01/07,2028-01-07,2028,23,小規模,small,41,DX/デジタル,新規開発,small_新規開発
PRJ0100,DX推進会計システム移行プロジェクト,2026/11,2027/04,40000,3200,2026/12/15,2026-12-15,2026,6,小規模,small,22,DX/デジタル,移行,small_移行
