project_id,project_name,category,strategic_alignment,risk,urgency,importance,budget,duration,roi,start_date,department,stakeholders,system_database_access,technology_stack,middleware_library,vendor_partner,skill_set,procurement_contract,master_data,end_user,launch_timing,regulatory_deadline,complexity,source_industry,source_file
PCF7EDAEC,Cost Reduction Project 022,Cost_Reduction,4,2,4,3,66,15,269,2026-01-16,HR,15,基幹業務システム,REST API,Apache/Nginx,地場SI会社,データサイエンティスト,コンサルティング,組織マスタ,製造部門,同月稼働,税制改正,Low,Technology,sample_projects_technology.csv
PF75A7C31,Process Improvement Project 023,Process_Improvement,3,3,4,3,27,6,120,2025-10-20,Strategy,7,顧客管理システム,AWS/Azure クラウド,共通ライブラリ,SAP,インフラエンジニア,なし,組織マスタ,カスタマーサポート,年度始稼働,国際基準対応,Low,Technology,sample_projects_technology.csv
P11DE44B0,IT Infrastructure Project 024,IT_Infrastructure,5,2,4,3,412,19,104,2026-04-13,Legal,13,なし,なし,なし,地場SI会社,データサイエンティスト,クラウドサービス,取引先マスタ,営業部門,なし,税制改正,Medium,Technology,sample_projects_technology.csv
PC52CF02C,Compliance Project 025,Compliance,3,2,5,5,123,9,87,2025-09-24,Finance,9,なし,Java/.NET,なし,地場SI会社,データサイエンティスト,保守契約,勘定科目マスタ,製造部門,年度末稼働,国際基準対応,Low,Technology,sample_projects_technology.csv
P6B0DB76A,IT Infrastructure Project 026,IT_Infrastructure,4,2,4,5,360,16,180,2026-03-04,Customer Service,13,基幹業務システム,React/Angular,Docker/Kubernetes,なし,なし,なし,製品マスタ,なし,同月稼働,税制改正,Low,Technology,sample_projects_technology.csv
P73E768F4,Compliance Project 027,Compliance,3,1,5,4,246,6,62,2025-08-02,IT,6,認証システム,React/Angular,Apache/Nginx,SAP,UI/UX デザイナー,なし,勘定科目マスタ,経理部門,なし,なし,Low,Technology,sample_projects_technology.csv
P6C4CD3D4,Innovation Project 028,Innovation,4,4,1,5,32,30,135,2026-02-23,Finance,5,なし,React/Angular,Docker/Kubernetes,IBM,プロジェクトマネージャー,ソフトウェアライセンス,顧客マスタ,カスタマーサポート,連続月稼働,業界規制,Medium,Technology,sample_projects_technology.csv
PEA6922FB,Cost Reduction Project 029,Cost_Reduction,5,3,4,4,129,4,274,2026-03-08,HR,15,基幹業務システム,なし,Kafka/RabbitMQ,なし,なし,保守契約,取引先マスタ,なし,連続月稼働,税制改正,Low,Technology,sample_projects_technology.csv
PCD9F74CB,Innovation Project 030,Innovation,5,5,1,4,201,16,423,2025-08-31,Operations,5,基幹業務システム,Java/.NET,なし,Microsoft,業務アナリスト,ソフトウェアライセンス,顧客マスタ,カスタマーサポート,年度末稼働,税制改正,Medium,Technology,sample_projects_technology.csv
P97C1F19B,Compliance Project 031,Compliance,4,1,4,5,139,12,41,2026-01-31,Customer Service,3,データウェアハウス,BI ツール,Docker/Kubernetes,なし,なし,コンサルティング,勘定科目マスタ,なし,なし,国際基準対応,Low,Technology,sample_projects_technology.csv
P1A7BFD0F,Compliance Project 032,Compliance,4,1,5,5,164,3,102,2026-01-09,Quality Assurance,13,認証システム,なし,Redis/Memcached,なし,UI/UX デザイナー,ソフトウェアライセンス,勘定科目マスタ,経営層,同月稼働,業界規制,Low,Technology,sample_projects_technology.csv
P1F1A4F39,Compliance Project 033,Compliance,3,2,4,5,86,3,81,2026-01-31,R&D,6,認証システム,BI ツール,Kafka/RabbitMQ,なし,UI/UX デザイナー,クラウドサービス,取引先マスタ,製造部門,同月稼働,業界規制,Low,Technology,sample_projects_technology.csv
P7B876BDF,IT Infrastructure Project 034,IT_Infrastructure,3,3,3,5,85,7,228,2025-08-05,Finance,6,顧客管理システム,React/Angular,Redis/Memcached,Microsoft,データサイエンティスト,コンサルティング,なし,営業部門,年度始稼働,会計基準変更,Low,Technology,sample_projects_technology.csv
P5E4D8F2A,Innovation Project 035,Innovation,4,4,3,5,88,30,172,2025-12-27,Marketing,12,顧客管理システム,BI ツール,共通ライブラリ,地場SI会社,UI/UX デザイナー,コンサルティング,なし,経理部門,同月稼働,国際基準対応,Medium,Technology,sample_projects_technology.csv
P57E72D24,Cost Reduction Project 036,Cost_Reduction,3,3,3,3,103,10,258,2026-01-26,Marketing,11,なし,BI ツール,Apache/Nginx,なし,UI/UX デザイナー,コンサルティング,顧客マスタ,カスタマーサポート,同四半期稼働,なし,Low,Technology,sample_projects_technology.csv
PD8CEA032,Innovation Project 037,Innovation,4,4,3,5,168,25,422,2026-03-25,Customer Service,9,なし,React/Angular,Kafka/RabbitMQ,Oracle,なし,ソフトウェアライセンス,顧客マスタ,製造部門,年度末稼働,会計基準変更,Medium,Technology,sample_projects_technology.csv
P2A70C04D,Innovation Project 038,Innovation,4,4,2,4,123,21,205,2026-01-18,HR,8,データウェアハウス,React/Angular,なし,Oracle,プロジェクトマネージャー,ハードウェア調達,勘定科目マスタ,経理部門,同月稼働,会計基準変更,Medium,Technology,sample_projects_technology.csv
P63396231,Cost Reduction Project 039,Cost_Reduction,4,2,4,4,129,14,122,2025-09-06,HR,6,認証システム,なし,Redis/Memcached,Oracle,業務アナリスト,保守契約,組織マスタ,カスタマーサポート,年度始稼働,国際基準対応,Low,Technology,sample_projects_technology.csv
PE6C8D74E,Process Improvement Project 040,Process_Improvement,4,3,3,3,199,17,122,2025-12-24,HR,6,顧客管理システム,なし,Redis/Memcached,Oracle,Java 開発者,なし,勘定科目マスタ,なし,連続月稼働,会計基準変更,Low,Technology,sample_projects_technology.csv
P06A8A56F,Digital Transformation Project 041,Digital_Transformation,5,5,4,5,202,18,253,2025-11-14,R&D,5,データウェアハウス,AWS/Azure クラウド,なし,Salesforce,データサイエンティスト,クラウドサービス,顧客マスタ,営業部門,年度始稼働,税制改正,Medium,Technology,sample_projects_technology.csv
PE6EB38AF,Cost Reduction Project 042,Cost_Reduction,5,3,3,3,87,9,275,2026-03-03,R&D,5,顧客管理システム,BI ツール,Docker/Kubernetes,IBM,なし,ハードウェア調達,取引先マスタ,カスタマーサポート,同月稼働,国際基準対応,Low,Technology,sample_projects_technology.csv
PA77856F1,Cost Reduction Project 043,Cost_Reduction,3,2,4,3,78,3,301,2026-02-19,Strategy,12,ファイルサーバー,REST API,共通ライブラリ,SAP,UI/UX デザイナー,コンサルティング,組織マスタ,経営層,年度末稼働,税制改正,Low,Technology,sample_projects_technology.csv
PCFA60FF9,Compliance Project 044,Compliance,3,1,4,5,209,4,65,2025-11-20,Operations,11,顧客管理システム,REST API,Apache/Nginx,SAP,UI/UX デザイナー,なし,勘定科目マスタ,カスタマーサポート,同四半期稼働,個人情報保護法,Low,Technology,sample_projects_technology.csv
PDD72C39C,Digital Transformation Project 045,Digital_Transformation,5,5,3,4,339,20,364,2025-10-30,Sales,4,ファイルサーバー,REST API,なし,Microsoft,インフラエンジニア,ソフトウェアライセンス,顧客マスタ,営業部門,連続月稼働,税制改正,Medium,Technology,sample_projects_technology.csv
PED7D58E7,Compliance Project 046,Compliance,4,1,5,5,219,9,83,2026-04-03,Legal,10,認証システム,AWS/Azure クラウド,共通ライブラリ,IBM,UI/UX デザイナー,なし,組織マスタ,経営層,同四半期稼働,個人情報保護法,Low,Technology,sample_projects_technology.csv
P1AB5AD99,IT Infrastructure Project 047,IT_Infrastructure,5,4,5,3,441,14,198,2025-08-10,Operations,10,ファイルサーバー,なし,Docker/Kubernetes,Oracle,データサイエンティスト,保守契約,取引先マスタ,なし,年度末稼働,個人情報保護法,Medium,Technology,sample_projects_technology.csv
PE304D647,Innovation Project 048,Innovation,4,5,2,5,83,11,283,2026-02-16,Supply Chain,10,データウェアハウス,なし,Docker/Kubernetes,なし,なし,保守契約,顧客マスタ,カスタマーサポート,同月稼働,税制改正,Medium,Technology,sample_projects_technology.csv
PCCC20165,Process Improvement Project 049,Process_Improvement,2,2,4,2,188,17,145,2025-08-17,Finance,11,データウェアハウス,React/Angular,Docker/Kubernetes,地場SI会社,UI/UX デザイナー,ハードウェア調達,製品マスタ,製造部門,年度始稼働,会計基準変更,Low,Technology,sample_projects_technology.csv
PB1270DC1,Process Improvement Project 050,Process_Improvement,4,2,2,2,181,10,195,2025-10-10,HR,11,顧客管理システム,React/Angular,Docker/Kubernetes,IBM,データサイエンティスト,ハードウェア調達,取引先マスタ,営業部門,なし,会計基準変更,Low,Technology,sample_projects_technology.csv
P937D2FA3,Cost Reduction Project 001,Cost_Reduction,3,3,3,3,50,13,139,2025-09-03,Strategy,9,顧客管理システム,AWS/Azure クラウド,Apache/Nginx,Microsoft,データサイエンティスト,保守契約,勘定科目マスタ,営業部門,年度始稼働,会計基準変更,Low,Retail,sample_projects_retail.csv
PD32E2F8E,Cost Reduction Project 002,Cost_Reduction,4,2,4,4,16,14,156,2026-02-22,R&D,7,基幹業務システム,REST API,Kafka/RabbitMQ,IBM,Java 開発者,コンサルティング,顧客マスタ,製造部門,同四半期稼働,国際基準対応,Low,Retail,sample_projects_retail.csv
P6388B76C,Process Improvement Project 003,Process_Improvement,4,2,4,2,116,5,156,2025-12-18,Quality Assurance,12,データウェアハウス,React/Angular,Redis/Memcached,地場SI会社,Java 開発者,ハードウェア調達,なし,経理部門,同四半期稼働,個人情報保護法,Low,Retail,sample_projects_retail.csv
P1C1F1F4D,Digital Transformation Project 004,Digital_Transformation,5,4,3,5,266,23,252,2025-11-05,Quality Assurance,7,なし,なし,なし,IBM,プロジェクトマネージャー,なし,製品マスタ,経営層,なし,会計基準変更,Medium,Retail,sample_projects_retail.csv
P7492EEC3,Digital Transformation Project 005,Digital_Transformation,5,4,4,4,432,36,160,2025-11-15,IT,15,データウェアハウス,Java/.NET,Kafka/RabbitMQ,IBM,データサイエンティスト,保守契約,なし,製造部門,連続月稼働,なし,High,Retail,sample_projects_retail.csv
P375915B5,Innovation Project 006,Innovation,5,5,1,4,101,13,404,2025-12-02,Supply Chain,12,認証システム,React/Angular,Docker/Kubernetes,Oracle,データサイエンティスト,ソフトウェアライセンス,勘定科目マスタ,カスタマーサポート,同月稼働,個人情報保護法,Medium,Retail,sample_projects_retail.csv
P27D7E851,IT Infrastructure Project 007,IT_Infrastructure,5,2,5,4,355,8,154,2026-02-01,Strategy,10,ファイルサーバー,BI ツール,共通ライブラリ,なし,Java 開発者,なし,なし,営業部門,なし,国際基準対応,Low,Retail,sample_projects_retail.csv
P4BF07B51,Process Improvement Project 008,Process_Improvement,2,2,3,2,136,3,111,2026-04-03,Operations,11,顧客管理システム,なし,Kafka/RabbitMQ,なし,業務アナリスト,保守契約,勘定科目マスタ,経理部門,連続月稼働,税制改正,Low,Retail,sample_projects_retail.csv
P580D5DBC,Digital Transformation Project 009,Digital_Transformation,4,5,3,5,119,15,254,2025-12-25,Finance,3,基幹業務システム,React/Angular,Apache/Nginx,IBM,業務アナリスト,コンサルティング,顧客マスタ,経営層,連続月稼働,会計基準変更,Low,Retail,sample_projects_retail.csv
P1C093F08,Cost Reduction Project 010,Cost_Reduction,5,2,4,4,69,10,169,2025-12-27,Sales,13,なし,BI ツール,Docker/Kubernetes,Salesforce,UI/UX デザイナー,ハードウェア調達,製品マスタ,経理部門,同月稼働,税制改正,Low,Retail,sample_projects_retail.csv
P4F15105E,IT Infrastructure Project 011,IT_Infrastructure,5,2,3,3,412,7,130,2025-08-24,IT,8,顧客管理システム,React/Angular,Redis/Memcached,Oracle,業務アナリスト,コンサルティング,製品マスタ,経営層,連続月稼働,なし,Low,Retail,sample_projects_retail.csv
P0BDA5483,Compliance Project 012,Compliance,3,2,5,4,64,4,102,2026-01-18,Sales,9,認証システム,なし,Apache/Nginx,地場SI会社,業務アナリスト,なし,顧客マスタ,営業部門,年度末稼働,なし,Low,Retail,sample_projects_retail.csv
PDC9F38F5,Process Improvement Project 013,Process_Improvement,2,1,2,4,134,7,136,2025-10-22,HR,10,基幹業務システム,AWS/Azure クラウド,Docker/Kubernetes,なし,なし,保守契約,顧客マスタ,営業部門,なし,国際基準対応,Low,Retail,sample_projects_retail.csv
P7BF14109,IT Infrastructure Project 014,IT_Infrastructure,3,2,4,4,296,12,228,2026-02-11,IT,5,認証システム,AWS/Azure クラウド,Docker/Kubernetes,Oracle,なし,コンサルティング,組織マスタ,カスタマーサポート,なし,なし,Low,Retail,sample_projects_retail.csv
P50A90B7F,Compliance Project 015,Compliance,3,1,5,4,54,12,118,2025-08-21,Supply Chain,8,顧客管理システム,AWS/Azure クラウド,共通ライブラリ,SAP,プロジェクトマネージャー,保守契約,製品マスタ,営業部門,年度始稼働,個人情報保護法,Low,Retail,sample_projects_retail.csv
PAD5E31A8,Digital Transformation Project 016,Digital_Transformation,4,5,2,5,222,30,219,2025-08-10,Strategy,4,認証システム,なし,共通ライブラリ,Salesforce,プロジェクトマネージャー,クラウドサービス,組織マスタ,経理部門,なし,なし,Medium,Retail,sample_projects_retail.csv
P44BF3671,Process Improvement Project 017,Process_Improvement,3,2,2,4,185,12,141,2025-12-29,Marketing,3,認証システム,React/Angular,共通ライブラリ,IBM,Java 開発者,保守契約,製品マスタ,経営層,同四半期稼働,会計基準変更,Low,Retail,sample_projects_retail.csv
P60032341,Process Improvement Project 018,Process_Improvement,2,2,3,2,132,12,165,2026-04-17,IT,13,ファイルサーバー,BI ツール,なし,IBM,データサイエンティスト,クラウドサービス,顧客マスタ,営業部門,なし,国際基準対応,Low,Retail,sample_projects_retail.csv
P5D895D2A,Digital Transformation Project 019,Digital_Transformation,5,5,2,5,308,33,338,2025-12-03,Legal,10,データウェアハウス,AWS/Azure クラウド,Apache/Nginx,地場SI会社,UI/UX デザイナー,クラウドサービス,顧客マスタ,営業部門,同四半期稼働,会計基準変更,Medium,Retail,sample_projects_retail.csv
P836916E3,Cost Reduction Project 020,Cost_Reduction,3,3,4,3,43,3,153,2025-08-08,R&D,12,ファイルサーバー,REST API,Docker/Kubernetes,Microsoft,Java 開発者,クラウドサービス,組織マスタ,営業部門,同四半期稼働,会計基準変更,Low,Retail,sample_projects_retail.csv
P78EE3330,Cost Reduction Project 021,Cost_Reduction,5,2,4,4,54,5,157,2025-10-19,Sales,3,基幹業務システム,なし,Kafka/RabbitMQ,なし,UI/UX デザイナー,なし,なし,経理部門,同四半期稼働,会計基準変更,Low,Retail,sample_projects_retail.csv
PE56E32E5,Cost Reduction Project 022,Cost_Reduction,4,2,4,3,66,15,248,2026-01-16,HR,15,基幹業務システム,REST API,Apache/Nginx,地場SI会社,データサイエンティスト,コンサルティング,組織マスタ,製造部門,同月稼働,税制改正,Low,Retail,sample_projects_retail.csv
P77A0126C,Process Improvement Project 023,Process_Improvement,3,3,4,3,27,6,111,2025-10-20,Strategy,7,顧客管理システム,AWS/Azure クラウド,共通ライブラリ,SAP,インフラエンジニア,なし,組織マスタ,カスタマーサポート,年度始稼働,国際基準対応,Low,Retail,sample_projects_retail.csv
PB0A42852,IT Infrastructure Project 024,IT_Infrastructure,5,2,4,3,412,19,96,2026-04-13,Legal,13,なし,なし,なし,地場SI会社,データサイエンティスト,クラウドサービス,取引先マスタ,営業部門,なし,税制改正,Medium,Retail,sample_projects_retail.csv
P0604F081,Compliance Project 025,Compliance,3,2,5,5,123,9,80,2025-09-24,Finance,9,なし,Java/.NET,なし,地場SI会社,データサイエンティスト,保守契約,勘定科目マスタ,製造部門,年度末稼働,国際基準対応,Low,Retail,sample_projects_retail.csv
P35967427,IT Infrastructure Project 026,IT_Infrastructure,4,2,4,5,360,16,166,2026-03-04,Customer Service,13,基幹業務システム,React/Angular,Docker/Kubernetes,なし,なし,なし,製品マスタ,なし,同月稼働,税制改正,Low,Retail,sample_projects_retail.csv
P061AC53E,Compliance Project 027,Compliance,3,1,5,4,246,6,57,2025-08-02,IT,6,認証システム,React/Angular,Apache/Nginx,SAP,UI/UX デザイナー,なし,勘定科目マスタ,経理部門,なし,なし,Low,Retail,sample_projects_retail.csv
P95EEE3FF,Innovation Project 028,Innovation,4,4,1,5,32,30,124,2026-02-23,Finance,5,なし,React/Angular,Docker/Kubernetes,IBM,プロジェクトマネージャー,ソフトウェアライセンス,顧客マスタ,カスタマーサポート,連続月稼働,業界規制,Medium,Retail,sample_projects_retail.csv
P07534DEB,Cost Reduction Project 029,Cost_Reduction,5,3,4,4,129,4,253,2026-03-08,HR,15,基幹業務システム,なし,Kafka/RabbitMQ,なし,なし,保守契約,取引先マスタ,なし,連続月稼働,税制改正,Low,Retail,sample_projects_retail.csv
PD56D485C,Innovation Project 030,Innovation,5,5,1,4,201,16,391,2025-08-31,Operations,5,基幹業務システム,Java/.NET,なし,Microsoft,業務アナリスト,ソフトウェアライセンス,顧客マスタ,カスタマーサポート,年度末稼働,税制改正,Medium,Retail,sample_projects_retail.csv
P843305FF,Compliance Project 031,Compliance,4,1,4,5,139,12,38,2026-01-31,Customer Service,3,データウェアハウス,BI ツール,Docker/Kubernetes,なし,なし,コンサルティング,勘定科目マスタ,なし,なし,国際基準対応,Low,Retail,sample_projects_retail.csv
P22632C44,Compliance Project 032,Compliance,4,1,5,5,164,3,94,2026-01-09,Quality Assurance,13,認証システム,なし,Redis/Memcached,なし,UI/UX デザイナー,ソフトウェアライセンス,勘定科目マスタ,経営層,同月稼働,業界規制,Low,Retail,sample_projects_retail.csv
P70E4C4A0,Compliance Project 033,Compliance,3,2,4,5,86,3,75,2026-01-31,R&D,6,認証システム,BI ツール,Kafka/RabbitMQ,なし,UI/UX デザイナー,クラウドサービス,取引先マスタ,製造部門,同月稼働,業界規制,Low,Retail,sample_projects_retail.csv
PFB1EE3D8,IT Infrastructure Project 034,IT_Infrastructure,3,3,3,5,85,7,211,2025-08-05,Finance,6,顧客管理システム,React/Angular,Redis/Memcached,Microsoft,データサイエンティスト,コンサルティング,なし,営業部門,年度始稼働,会計基準変更,Low,Retail,sample_projects_retail.csv
PB33410C1,Innovation Project 035,Innovation,4,4,3,5,88,30,159,2025-12-27,Marketing,12,顧客管理システム,BI ツール,共通ライブラリ,地場SI会社,UI/UX デザイナー,コンサルティング,なし,経理部門,同月稼働,国際基準対応,Medium,Retail,sample_projects_retail.csv
P3C20EA69,Cost Reduction Project 036,Cost_Reduction,3,3,3,3,103,10,238,2026-01-26,Marketing,11,なし,BI ツール,Apache/Nginx,なし,UI/UX デザイナー,コンサルティング,顧客マスタ,カスタマーサポート,同四半期稼働,なし,Low,Retail,sample_projects_retail.csv
PC6CC46E1,Innovation Project 037,Innovation,4,4,3,5,168,25,390,2026-03-25,Customer Service,9,なし,React/Angular,Kafka/RabbitMQ,Oracle,なし,ソフトウェアライセンス,顧客マスタ,製造部門,年度末稼働,会計基準変更,Medium,Retail,sample_projects_retail.csv
P4FF59CF0,Innovation Project 038,Innovation,4,4,2,4,123,21,189,2026-01-18,HR,8,データウェアハウス,React/Angular,なし,Oracle,プロジェクトマネージャー,ハードウェア調達,勘定科目マスタ,経理部門,同月稼働,会計基準変更,Medium,Retail,sample_projects_retail.csv
P6AE8CDC7,Cost Reduction Project 039,Cost_Reduction,4,2,4,4,129,14,112,2025-09-06,HR,6,認証システム,なし,Redis/Memcached,Oracle,業務アナリスト,保守契約,組織マスタ,カスタマーサポート,年度始稼働,国際基準対応,Low,Retail,sample_projects_retail.csv
P9B6ECA12,Process Improvement Project 040,Process_Improvement,4,3,3,3,199,17,112,2025-12-24,HR,6,顧客管理システム,なし,Redis/Memcached,Oracle,Java 開発者,なし,勘定科目マスタ,なし,連続月稼働,会計基準変更,Low,Retail,sample_projects_retail.csv
PB33F762D,Digital Transformation Project 041,Digital_Transformation,5,5,4,5,202,18,234,2025-11-14,R&D,5,データウェアハウス,AWS/Azure クラウド,なし,Salesforce,データサイエンティスト,クラウドサービス,顧客マスタ,営業部門,年度始稼働,税制改正,Medium,Retail,sample_projects_retail.csv
PC9636DB9,Cost Reduction Project 042,Cost_Reduction,5,3,3,3,87,9,254,2026-03-03,R&D,5,顧客管理システム,BI ツール,Docker/Kubernetes,IBM,なし,ハードウェア調達,取引先マスタ,カスタマーサポート,同月稼働,国際基準対応,Low,Retail,sample_projects_retail.csv
PBD8A5670,Cost Reduction Project 043,Cost_Reduction,3,2,4,3,78,3,278,2026-02-19,Strategy,12,ファイルサーバー,REST API,共通ライブラリ,SAP,UI/UX デザイナー,コンサルティング,組織マスタ,経営層,年度末稼働,税制改正,Low,Retail,sample_projects_retail.csv
PD6AD48DD,Compliance Project 044,Compliance,3,1,4,5,209,4,60,2025-11-20,Operations,11,顧客管理システム,REST API,Apache/Nginx,SAP,UI/UX デザイナー,なし,勘定科目マスタ,カスタマーサポート,同四半期稼働,個人情報保護法,Low,Retail,sample_projects_retail.csv
P9A6FDDD1,Digital Transformation Project 045,Digital_Transformation,5,5,3,4,339,20,336,2025-10-30,Sales,4,ファイルサーバー,REST API,なし,Microsoft,インフラエンジニア,ソフトウェアライセンス,顧客マスタ,営業部門,連続月稼働,税制改正,Medium,Retail,sample_projects_retail.csv
PAA3885A1,Compliance Project 046,Compliance,4,1,5,5,219,9,76,2026-04-03,Legal,10,認証システム,AWS/Azure クラウド,共通ライブラリ,IBM,UI/UX デザイナー,なし,組織マスタ,経営層,同四半期稼働,個人情報保護法,Low,Retail,sample_projects_retail.csv
P3B5916DA,IT Infrastructure Project 047,IT_Infrastructure,5,4,5,3,441,14,183,2025-08-10,Operations,10,ファイルサーバー,なし,Docker/Kubernetes,Oracle,データサイエンティスト,保守契約,取引先マスタ,なし,年度末稼働,個人情報保護法,Medium,Retail,sample_projects_retail.csv
P000ED180,Innovation Project 048,Innovation,4,5,2,5,83,11,261,2026-02-16,Supply Chain,10,データウェアハウス,なし,Docker/Kubernetes,なし,なし,保守契約,顧客マスタ,カスタマーサポート,同月稼働,税制改正,Medium,Retail,sample_projects_retail.csv
