response_id,respondent_id,timestamp,department,department_ja,role,role_ja,usage_frequency,usage_frequency_ja,incident_experience,vendor_id,vendor_name,performance_incident_response_speed,performance_sla_achievement,performance_problem_resolution,performance_communication_speed,performance_availability_maintenance,technical_expertise,technical_troubleshooting,technical_new_tech_adaptation,technical_documentation_quality,technical_proposal,business_process_understanding,business_impact_consideration,business_prioritization,business_stakeholder_management,business_cost_awareness,improvement_proposal_quality,improvement_proposal_frequency,improvement_proactive_attitude,improvement_innovation,improvement_long_term_perspective,comment,performance_incident_response_speed_z,performance_sla_achievement_z,performance_problem_resolution_z,performance_communication_speed_z,performance_availability_maintenance_z,technical_expertise_z,technical_troubleshooting_z,technical_new_tech_adaptation_z,technical_documentation_quality_z,technical_proposal_z,business_process_understanding_z,business_impact_consideration_z,business_prioritization_z,business_stakeholder_management_z,business_cost_awareness_z,improvement_proposal_quality_z,improvement_proposal_frequency_z,improvement_proactive_attitude_z,improvement_innovation_z,improvement_long_term_perspective_z,performance_incident_response_speed_z5,performance_sla_achievement_z5,performance_problem_resolution_z5,performance_communication_speed_z5,performance_availability_maintenance_z5,technical_expertise_z5,technical_troubleshooting_z5,technical_new_tech_adaptation_z5,technical_documentation_quality_z5,technical_proposal_z5,business_process_understanding_z5,business_impact_consideration_z5,business_prioritization_z5,business_stakeholder_management_z5,business_cost_awareness_z5,improvement_proposal_quality_z5,improvement_proposal_frequency_z5,improvement_proactive_attitude_z5,improvement_innovation_z5,improvement_long_term_perspective_z5
11,3,2025-11-11 05:28:39,business,業務部門,specialist,スペシャリスト,low,低頻度,True,C,C社,4,2,3,4,3,2,4,2,1,5,1,1,3,5,4,5,4,1,4,2,,0.26111648393354675,-0.8660254037844387,-0.14638501094227999,1.390758974918296,-0.5,0.0,-0.5000000000000001,-0.43915503282683993,-0.8488746876271656,0.8660254037844387,-0.6603381797442178,-0.7071067811865475,0.14638501094227999,0.8488746876271654,1.5,1.4433756729740645,0.1986798535597566,-1.0914103126634984,0.5,-0.8333333333333334,3.3481553119113956,1.8452994616207488,2.8048199854102935,4.85434529989106,2.3333333333333335,3.0,2.3333333333333335,2.41445995623088,1.8681670831637796,4.1547005383792515,2.119549093674377,2.0571909584179373,3.1951800145897065,4.1318329168362204,5.0,4.924500897298753,3.2649064714130085,1.5447862497820024,3.6666666666666665,1.8888888888888893
12,3,2025-11-08 08:31:39,business,業務部門,specialist,スペシャリスト,low,低頻度,True,D,D社,3,4,1,1,5,2,4,3,1,4,1,2,2,2,2,1,5,5,2,5,一部対応に遅れが見られることがあります。,-0.7833494518006403,0.8660254037844387,-1.3174650984805198,-0.9933992677987828,0.8333333333333334,0.0,-0.5000000000000001,0.14638501094227999,-0.8488746876271656,-0.8660254037844387,-0.6603381797442178,0.0,-0.43915503282683993,-0.6063390625908325,-0.5,-0.8660254037844387,0.9933992677987828,0.8488746876271654,-0.8333333333333334,1.1666666666666667,1.9555340642658132,4.1547005383792515,1.2433798686926407,1.6754676429349566,4.111111111111111,3.0,2.3333333333333335,3.1951800145897065,1.8681670831637796,1.8452994616207488,2.119549093674377,3.0,2.41445995623088,2.1915479165455567,2.3333333333333335,1.8452994616207488,4.324532357065044,4.1318329168362204,1.8888888888888893,4.555555555555555
13,4,2025-11-19 00:02:39,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True,A,A社,5,3,3,3,3,4,5,2,3,1,4,2,5,3,2,4,4,1,5,2,対応は迅速でしたが、もう少し詳細な説明が欲しかったです。,1.1666666666666667,-0.3872983346207417,-0.5,0.7833494518006403,-0.8660254037844387,0.8660254037844387,1.3055824196677337,0.5,-0.8660254037844387,-1.5,-0.5,-0.43915503282683993,0.9933992677987828,0.0,-0.26111648393354675,0.8333333333333334,0.5477225575051661,-1.161895003862225,0.5000000000000001,-0.8660254037844387,4.555555555555555,2.483602220505678,2.3333333333333335,4.044465935734187,1.8452994616207488,4.1547005383792515,4.740776559556978,3.6666666666666665,1.8452994616207488,1.0000000000000007,2.3333333333333335,2.41445995623088,4.324532357065044,3.0,2.6518446880886044,4.111111111111111,3.7302967433402214,1.4508066615170336,3.6666666666666665,1.8452994616207488
14,4,2025-11-19 01:58:39,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True,B,B社,2,5,3,2,3,4,3,2,4,3,4,3,2,4,3,2,5,4,5,4,,-0.8333333333333334,1.161895003862225,-0.5,-0.26111648393354675,-0.8660254037844387,0.8660254037844387,-0.7833494518006403,0.5,0.8660254037844387,0.5,-0.5,0.14638501094227999,-1.390758974918296,0.7071067811865475,0.7833494518006403,-0.5,1.0954451150103321,1.161895003862225,0.5000000000000001,0.8660254037844387,1.8888888888888893,4.549193338482967,2.3333333333333335,2.6518446880886044,1.8452994616207488,4.1547005383792515,1.9555340642658132,3.6666666666666665,4.1547005383792515,3.6666666666666665,2.3333333333333335,3.1951800145897065,1.1456547001089392,3.942809041582063,4.044465935734187,2.3333333333333335,4.460593486680443,4.549193338482967,3.6666666666666665,4.1547005383792515
15,4,2025-11-07 04:31:39,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True,C,C社,4,4,3,1,5,1,4,2,3,3,5,5,4,1,1,4,1,2,3,2,,0.5,0.3872983346207417,-0.5,-1.3055824196677337,0.8660254037844387,-0.8660254037844387,0.26111648393354675,0.5,-0.8660254037844387,0.5,1.5,1.3174650984805198,0.1986798535597566,-1.414213562373095,-1.3055824196677337,0.8333333333333334,-1.0954451150103321,-0.3872983346207417,-1.5000000000000002,-0.8660254037844387,3.6666666666666665,3.516397779494322,2.3333333333333335,1.2592234404430223,4.1547005383792515,1.8452994616207488,3.3481553119113956,3.6666666666666665,1.8452994616207488,3.6666666666666665,5.0,4.7566201313073595,3.2649064714130085,1.114381916835874,1.2592234404430223,4.111111111111111,1.5394065133195576,2.483602220505678,1.0000000000000002,1.8452994616207488
16,4,2025-10-29 03:02:39,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True,D,D社,2,2,5,3,5,1,3,1,4,3,4,1,4,4,3,1,2,3,5,4,もう少しコストを抑えられると助かります。,-0.8333333333333334,-1.161895003862225,1.5,0.7833494518006403,0.8660254037844387,-0.8660254037844387,-0.7833494518006403,-1.5,0.8660254037844387,0.5,-0.5,-1.02469507659596,0.1986798535597566,0.7071067811865475,0.7833494518006403,-1.1666666666666667,-0.5477225575051661,0.3872983346207417,0.5000000000000001,0.8660254037844387,1.8888888888888893,1.4508066615170336,5.0,4.044465935734187,4.1547005383792515,1.8452994616207488,1.9555340642658132,1.0000000000000007,4.1547005383792515,3.6666666666666665,2.3333333333333335,1.6337398978720539,3.2649064714130085,3.942809041582063,4.044465935734187,1.4444444444444449,2.2697032566597786,3.516397779494322,3.6666666666666665,4.1547005383792515
17,5,2025-11-04 00:19:39,finance,経理財務部門,specialist,スペシャリスト,medium,中頻度,True,A,A社,4,2,5,2,2,2,1,4,5,4,1,2,3,1,5,5,2,5,4,5,今後も継続して利用したいと思います。,0.2886751345948129,0.0,1.0954451150103321,-0.1986798535597566,-0.5477225575051661,,-0.7833494518006403,1.414213562373095,1.1618950038622253,1.390758974918296,-0.7071067811865475,-0.3872983346207417,-0.7833494518006403,-1.224744871391589,1.3174650984805198,0.8660254037844387,-0.43915503282683993,0.9933992677987828,0.8333333333333334,0.5000000000000001,3.38490017945975,3.0,4.460593486680443,2.7350935285869915,2.2697032566597786,,1.9555340642658132,4.885618083164125,4.549193338482967,4.85434529989106,2.0571909584179373,2.483602220505678,1.9555340642658132,1.3670068381445486,4.7566201313073595,4.1547005383792515,2.41445995623088,4.324532357065044,4.111111111111111,3.6666666666666665
18,5,2025-11-06 00:36:39,finance,経理財務部門,specialist,スペシャリスト,medium,中頻度,True,B,B社,5,3,2,1,4,2,2,1,4,2,1,3,4,3,2,4,5,4,1,4,,0.8660254037844387,1.224744871391589,-0.5477225575051661,-0.9933992677987828,0.5477225575051661,,0.26111648393354675,-0.7071067811865475,0.38729833462074176,-0.1986798535597566,-0.7071067811865475,0.3872983346207417,0.26111648393354675,0.0,-0.43915503282683993,-0.8660254037844387,1.3174650984805198,0.1986798535597566,-1.1666666666666667,-1.5000000000000004,4.1547005383792515,4.632993161855452,2.2697032566597786,1.6754676429349566,3.7302967433402214,,3.3481553119113956,2.0571909584179373,3.516397779494322,2.7350935285869915,2.0571909584179373,3.516397779494322,3.3481553119113956,3.0,2.41445995623088,1.8452994616207488,4.7566201313073595,3.2649064714130085,1.4444444444444449,1.0
19,5,2025-11-21 04:52:39,finance,経理財務部門,specialist,スペシャリスト,medium,中頻度,True,C,C社,1,2,1,4,1,2,3,1,2,2,2,4,5,3,1,5,1,2,2,5,,-1.4433756729740645,0.0,-1.0954451150103321,1.390758974918296,-1.0954451150103321,,1.3055824196677337,-0.7071067811865475,-1.1618950038622253,-0.1986798535597566,0.0,1.161895003862225,1.3055824196677337,0.0,-1.02469507659596,0.8660254037844387,-1.02469507659596,-1.390758974918296,-0.5,0.5000000000000001,1.075499102701248,3.0,1.5394065133195576,4.85434529989106,1.5394065133195576,,4.740776559556978,2.0571909584179373,1.4508066615170334,2.7350935285869915,3.0,4.549193338482967,4.740776559556978,3.0,1.6337398978720539,4.1547005383792515,1.6337398978720539,1.1456547001089392,2.3333333333333335,3.6666666666666665
20,5,2025-11-02 00:00:39,finance,経理財務部門,specialist,スペシャリスト,medium,中頻度,True,D,D社,4,1,4,2,5,2,1,2,3,1,4,1,3,5,3,4,3,4,4,5,,0.2886751345948129,-1.224744871391589,0.5477225575051661,-0.1986798535597566,1.0954451150103321,,-0.7833494518006403,0.0,-0.38729833462074176,-0.9933992677987828,1.414213562373095,-1.161895003862225,-0.7833494518006403,1.224744871391589,0.14638501094227999,-0.8660254037844387,0.14638501094227999,0.1986798535597566,0.8333333333333334,0.5000000000000001,3.38490017945975,1.3670068381445486,3.7302967433402214,2.7350935285869915,4.460593486680443,,1.9555340642658132,3.0,2.483602220505678,1.6754676429349566,4.885618083164125,1.4508066615170336,1.9555340642658132,4.632993161855452,3.1951800145897065,1.8452994616207488,3.1951800145897065,3.2649064714130085,4.111111111111111,3.6666666666666665
21,6,2025-11-08 07:21:39,it,IT部門,manager,マネージャー,low,低頻度,False,A,A社,2,5,3,2,5,5,2,4,4,2,3,5,3,3,4,1,4,3,5,5,,-0.5477225575051661,0.7833494518006403,1.3055824196677337,0.0,0.7833494518006403,1.4527439954372792,-1.5,0.8333333333333334,0.7071067811865475,-0.43915503282683993,0.38729833462074176,0.7833494518006403,0.14638501094227999,-0.8660254037844387,-1.5000000000000004,-1.02469507659596,1.1618950038622253,0.5,0.8660254037844387,1.02469507659596,2.2697032566597786,4.044465935734187,4.740776559556978,3.0,4.044465935734187,4.936991993916372,1.0000000000000007,4.111111111111111,3.942809041582063,2.41445995623088,3.516397779494322,4.044465935734187,3.1951800145897065,1.8452994616207488,1.0,1.6337398978720539,4.549193338482967,3.6666666666666665,4.1547005383792515,4.366260102127946
22,6,2025-11-23 05:19:39,it,IT部門,manager,マネージャー,low,低頻度,False,B,B社,5,4,1,1,3,1,4,1,3,1,4,3,5,4,5,2,3,1,1,1,,1.0954451150103321,-0.26111648393354675,-0.7833494518006402,-1.224744871391589,-1.3055824196677337,-0.6603381797442178,0.5,-1.1666666666666667,0.0,-1.02469507659596,1.1618950038622253,-0.26111648393354675,1.3174650984805198,0.8660254037844387,0.5000000000000001,-0.43915503282683993,0.38729833462074176,-0.8333333333333334,-0.8660254037844387,-1.3174650984805198,4.460593486680443,2.6518446880886044,1.9555340642658132,1.3670068381445486,1.2592234404430223,2.119549093674377,3.6666666666666665,1.4444444444444449,3.0,1.6337398978720539,4.549193338482967,2.6518446880886044,4.7566201313073595,4.1547005383792515,3.6666666666666665,2.41445995623088,3.516397779494322,1.8888888888888893,1.8452994616207488,1.2433798686926407
23,6,2025-11-11 04:07:39,it,IT部門,manager,マネージャー,low,低頻度,False,C,C社,4,5,1,2,4,1,4,4,4,5,1,5,1,4,5,3,1,1,1,3,改善提案が的確で、ビジネスに貢献してくれています。,0.5477225575051661,0.7833494518006403,-0.7833494518006402,0.0,-0.26111648393354675,-0.6603381797442178,0.5,0.8333333333333334,0.7071067811865475,1.3174650984805198,-1.1618950038622253,0.7833494518006403,-1.02469507659596,0.8660254037844387,0.5000000000000001,0.14638501094227999,-1.1618950038622253,-0.8333333333333334,-0.8660254037844387,-0.14638501094227999,3.7302967433402214,4.044465935734187,1.9555340642658132,3.0,2.6518446880886044,2.119549093674377,3.6666666666666665,4.111111111111111,3.942809041582063,4.7566201313073595,1.4508066615170334,4.044465935734187,1.6337398978720539,4.1547005383792515,3.6666666666666665,3.1951800145897065,1.4508066615170334,1.8888888888888893,1.8452994616207488,2.8048199854102935
24,6,2025-11-14 09:10:39,it,IT部門,manager,マネージャー,low,低頻度,False,D,D社,1,3,2,3,5,2,4,2,1,3,2,1,2,3,5,5,2,4,5,4,一部対応に遅れが見られることがあります。,-1.0954451150103321,-1.3055824196677337,0.26111648393354675,1.224744871391589,0.7833494518006403,-0.13206763594884355,0.5,-0.5,-1.414213562373095,0.14638501094227999,-0.38729833462074176,-1.3055824196677337,-0.43915503282683993,-0.8660254037844387,0.5000000000000001,1.3174650984805198,-0.38729833462074176,1.1666666666666667,0.8660254037844387,0.43915503282683993,1.5394065133195576,1.2592234404430223,3.3481553119113956,4.632993161855452,4.044465935734187,2.8239098187348755,3.6666666666666665,2.3333333333333335,1.114381916835874,3.1951800145897065,2.483602220505678,1.2592234404430223,2.41445995623088,1.8452994616207488,3.6666666666666665,4.7566201313073595,2.483602220505678,4.555555555555555,4.1547005383792515,3.58554004376912
25,7,2025-11-21 04:50:39,it,IT部門,specialist,スペシャリスト,medium,中頻度,True,A,A社,1,4,4,2,4,3,5,1,3,4,4,3,5,4,3,2,3,4,4,2,もう少しコストを抑えられると助かります。,-1.3055824196677337,0.7071067811865475,0.7833494518006403,-0.43915503282683993,1.161895003862225,0.0,,-0.8488746876271654,-1.3055824196677337,0.5,0.1986798535597566,-0.38729833462074176,1.0914103126634984,0.5477225575051661,1.3055824196677337,-0.7833494518006403,0.7833494518006403,0.2886751345948129,0.5477225575051661,-0.26111648393354675,1.2592234404430223,3.942809041582063,4.044465935734187,2.41445995623088,4.549193338482967,3.0,,1.8681670831637798,1.2592234404430223,3.6666666666666665,3.2649064714130085,2.483602220505678,4.455213750217998,3.7302967433402214,4.740776559556978,1.9555340642658132,4.044465935734187,3.38490017945975,3.7302967433402214,2.6518446880886044
26,7,2025-10-31 00:16:39,it,IT部門,specialist,スペシャリスト,medium,中頻度,True,B,B社,3,4,3,5,1,2,5,4,5,1,2,2,1,1,1,4,1,5,5,3,,0.7833494518006403,0.7071067811865475,-0.26111648393354675,1.3174650984805198,-1.161895003862225,-1.224744871391589,,0.6063390625908325,0.7833494518006403,-1.5,-1.390758974918296,-1.1618950038622253,-0.8488746876271654,-1.0954451150103321,-0.7833494518006402,1.3055824196677337,-1.3055824196677337,0.8660254037844387,1.0954451150103321,0.7833494518006403,4.044465935734187,3.942809041582063,2.6518446880886044,4.7566201313073595,1.4508066615170336,1.3670068381445486,,3.8084520834544433,4.044465935734187,1.0000000000000007,1.1456547001089392,1.4508066615170334,1.8681670831637798,1.5394065133195576,1.9555340642658132,4.740776559556978,1.2592234404430223,4.1547005383792515,4.460593486680443,4.044465935734187
27,7,2025-11-15 03:03:39,it,IT部門,specialist,スペシャリスト,medium,中頻度,True,C,C社,3,1,4,3,3,4,5,5,5,4,4,5,1,2,1,2,2,4,2,3,一部対応に遅れが見られることがあります。,0.7833494518006403,-1.414213562373095,0.7833494518006403,0.14638501094227999,0.3872983346207417,1.224744871391589,,1.0914103126634984,0.7833494518006403,0.5,0.1986798535597566,1.1618950038622253,-0.8488746876271654,-0.5477225575051661,-0.7833494518006402,-0.7833494518006403,-0.26111648393354675,0.2886751345948129,-0.5477225575051661,0.7833494518006403,4.044465935734187,1.114381916835874,4.044465935734187,3.1951800145897065,3.516397779494322,4.632993161855452,,4.455213750217998,4.044465935734187,3.6666666666666665,3.2649064714130085,4.549193338482967,1.8681670831637798,2.2697032566597786,1.9555340642658132,1.9555340642658132,2.6518446880886044,3.38490017945975,2.2697032566597786,4.044465935734187
28,7,2025-11-03 01:08:39,it,IT部門,specialist,スペシャリスト,medium,中頻度,True,D,D社,2,3,2,1,2,3,5,1,4,4,5,4,4,5,2,3,3,1,1,1,,-0.26111648393354675,0.0,-1.3055824196677337,-1.02469507659596,-0.3872983346207417,0.0,,-0.8488746876271654,-0.26111648393354675,0.5,0.9933992677987828,0.38729833462074176,0.6063390625908325,1.0954451150103321,0.26111648393354675,0.26111648393354675,0.7833494518006403,-1.4433756729740645,-1.0954451150103321,-1.3055824196677337,2.6518446880886044,3.0,1.2592234404430223,1.6337398978720539,2.483602220505678,3.0,,1.8681670831637798,2.6518446880886044,3.6666666666666665,4.324532357065044,3.516397779494322,3.8084520834544433,4.460593486680443,3.3481553119113956,3.3481553119113956,4.044465935734187,1.075499102701248,1.5394065133195576,1.2592234404430223
