respondent_id,department,department_ja,role,role_ja,usage_frequency,usage_frequency_ja,incident_experience
102,logistics,物流部門,manager,マネージャー,high,高頻度,False
103,sales,営業部門,leader,リーダー,high,高頻度,False
104,it,IT部門,staff,一般社員,medium,中頻度,False
105,logistics,物流部門,staff,一般社員,high,高頻度,False
106,finance,経理財務部門,leader,リーダー,low,低頻度,False
107,business,業務部門,staff,一般社員,medium,中頻度,False
108,it,IT部門,specialist,スペシャリスト,high,高頻度,False
109,business,業務部門,executive,役員,low,低頻度,False
110,finance,経理財務部門,staff,一般社員,medium,中頻度,True
111,hr,人事部門,executive,役員,low,低頻度,False
112,finance,経理財務部門,leader,リーダー,medium,中頻度,True
113,business,業務部門,leader,リーダー,low,低頻度,False
114,it,IT部門,leader,リーダー,high,高頻度,False
115,sales,営業部門,executive,役員,low,低頻度,True
116,logistics,物流部門,staff,一般社員,low,低頻度,False
117,finance,経理財務部門,specialist,スペシャリスト,medium,中頻度,True
118,it,IT部門,executive,役員,medium,中頻度,False
119,logistics,物流部門,specialist,スペシャリスト,high,高頻度,False
120,hr,人事部門,staff,一般社員,low,低頻度,True
121,hr,人事部門,staff,一般社員,low,低頻度,False
122,logistics,物流部門,executive,役員,low,低頻度,True
123,hr,人事部門,manager,マネージャー,low,低頻度,False
124,it,IT部門,specialist,スペシャリスト,high,高頻度,True
125,finance,経理財務部門,leader,リーダー,medium,中頻度,True
126,it,IT部門,specialist,スペシャリスト,low,低頻度,False
127,it,IT部門,staff,一般社員,high,高頻度,False
128,logistics,物流部門,staff,一般社員,high,高頻度,True
129,sales,営業部門,executive,役員,high,高頻度,False
130,sales,営業部門,manager,マネージャー,high,高頻度,False
131,finance,経理財務部門,leader,リーダー,high,高頻度,False
132,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True
133,sales,営業部門,manager,マネージャー,high,高頻度,True
134,hr,人事部門,leader,リーダー,medium,中頻度,True
135,sales,営業部門,staff,一般社員,low,低頻度,True
136,hr,人事部門,staff,一般社員,low,低頻度,True
137,finance,経理財務部門,executive,役員,medium,中頻度,True
138,it,IT部門,executive,役員,medium,中頻度,True
139,it,IT部門,specialist,スペシャリスト,low,低頻度,True
140,sales,営業部門,manager,マネージャー,high,高頻度,True
141,hr,人事部門,manager,マネージャー,low,低頻度,False
142,business,業務部門,leader,リーダー,high,高頻度,True
143,business,業務部門,specialist,スペシャリスト,high,高頻度,False
144,business,業務部門,executive,役員,medium,中頻度,False
145,it,IT部門,specialist,スペシャリスト,medium,中頻度,False
146,logistics,物流部門,staff,一般社員,low,低頻度,True
147,it,IT部門,executive,役員,low,低頻度,True
148,logistics,物流部門,manager,マネージャー,medium,中頻度,True
149,hr,人事部門,executive,役員,low,低頻度,True
150,sales,営業部門,staff,一般社員,medium,中頻度,False
151,business,業務部門,executive,役員,medium,中頻度,True
152,hr,人事部門,manager,マネージャー,low,低頻度,True
153,hr,人事部門,staff,一般社員,high,高頻度,True
154,sales,営業部門,leader,リーダー,high,高頻度,True
155,hr,人事部門,specialist,スペシャリスト,medium,中頻度,True
156,sales,営業部門,leader,リーダー,low,低頻度,False
157,finance,経理財務部門,staff,一般社員,high,高頻度,True
158,sales,営業部門,staff,一般社員,medium,中頻度,False
159,business,業務部門,staff,一般社員,medium,中頻度,True
160,logistics,物流部門,manager,マネージャー,low,低頻度,False
161,logistics,物流部門,staff,一般社員,low,低頻度,True
162,business,業務部門,specialist,スペシャリスト,medium,中頻度,True
163,logistics,物流部門,manager,マネージャー,high,高頻度,False
164,sales,営業部門,staff,一般社員,low,低頻度,False
165,finance,経理財務部門,manager,マネージャー,low,低頻度,False
166,logistics,物流部門,specialist,スペシャリスト,low,低頻度,True
167,finance,経理財務部門,specialist,スペシャリスト,high,高頻度,False
168,business,業務部門,manager,マネージャー,high,高頻度,True
169,finance,経理財務部門,executive,役員,medium,中頻度,True
170,hr,人事部門,leader,リーダー,low,低頻度,False
171,it,IT部門,staff,一般社員,high,高頻度,False
172,hr,人事部門,leader,リーダー,high,高頻度,True
173,business,業務部門,specialist,スペシャリスト,low,低頻度,True
174,logistics,物流部門,leader,リーダー,high,高頻度,False
175,logistics,物流部門,executive,役員,medium,中頻度,False
176,finance,経理財務部門,leader,リーダー,high,高頻度,False
177,sales,営業部門,leader,リーダー,high,高頻度,True
178,it,IT部門,specialist,スペシャリスト,medium,中頻度,True
179,sales,営業部門,specialist,スペシャリスト,low,低頻度,True
180,business,業務部門,staff,一般社員,high,高頻度,True
181,logistics,物流部門,manager,マネージャー,medium,中頻度,True
182,finance,経理財務部門,staff,一般社員,low,低頻度,True
183,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,False
184,sales,営業部門,staff,一般社員,high,高頻度,True
185,sales,営業部門,leader,リーダー,medium,中頻度,True
186,it,IT部門,leader,リーダー,high,高頻度,True
187,it,IT部門,specialist,スペシャリスト,low,低頻度,False
188,finance,経理財務部門,specialist,スペシャリスト,low,低頻度,True
189,it,IT部門,staff,一般社員,medium,中頻度,True
190,sales,営業部門,staff,一般社員,high,高頻度,False
191,sales,営業部門,leader,リーダー,low,低頻度,True
192,business,業務部門,manager,マネージャー,medium,中頻度,True
193,sales,営業部門,manager,マネージャー,low,低頻度,True
194,finance,経理財務部門,specialist,スペシャリスト,low,低頻度,True
195,hr,人事部門,staff,一般社員,high,高頻度,True
196,business,業務部門,manager,マネージャー,low,低頻度,False
197,business,業務部門,staff,一般社員,low,低頻度,False
198,finance,経理財務部門,executive,役員,high,高頻度,False
199,finance,経理財務部門,leader,リーダー,low,低頻度,True
200,it,IT部門,staff,一般社員,low,低頻度,True
201,business,業務部門,staff,一般社員,high,高頻度,True
202,it,IT部門,staff,一般社員,high,高頻度,False
203,sales,営業部門,manager,マネージャー,low,低頻度,True
204,business,業務部門,staff,一般社員,low,低頻度,True
205,business,業務部門,executive,役員,low,低頻度,False
206,logistics,物流部門,manager,マネージャー,low,低頻度,True
207,hr,人事部門,specialist,スペシャリスト,medium,中頻度,False
208,business,業務部門,specialist,スペシャリスト,low,低頻度,False
209,sales,営業部門,leader,リーダー,high,高頻度,False
210,it,IT部門,executive,役員,high,高頻度,True
211,it,IT部門,staff,一般社員,high,高頻度,True
212,logistics,物流部門,executive,役員,high,高頻度,True
213,hr,人事部門,specialist,スペシャリスト,low,低頻度,True
214,sales,営業部門,staff,一般社員,low,低頻度,True
215,it,IT部門,executive,役員,medium,中頻度,True
216,finance,経理財務部門,manager,マネージャー,low,低頻度,True
217,sales,営業部門,staff,一般社員,high,高頻度,False
218,sales,営業部門,manager,マネージャー,low,低頻度,True
219,hr,人事部門,executive,役員,medium,中頻度,False
220,it,IT部門,staff,一般社員,low,低頻度,True
221,sales,営業部門,leader,リーダー,low,低頻度,True
222,logistics,物流部門,leader,リーダー,high,高頻度,True
223,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,False
224,it,IT部門,staff,一般社員,low,低頻度,False
225,logistics,物流部門,executive,役員,low,低頻度,False
226,finance,経理財務部門,leader,リーダー,medium,中頻度,False
227,hr,人事部門,specialist,スペシャリスト,low,低頻度,True
228,logistics,物流部門,staff,一般社員,medium,中頻度,False
229,logistics,物流部門,leader,リーダー,medium,中頻度,True
230,finance,経理財務部門,staff,一般社員,high,高頻度,True
231,hr,人事部門,specialist,スペシャリスト,low,低頻度,False
232,sales,営業部門,executive,役員,medium,中頻度,False
233,hr,人事部門,specialist,スペシャリスト,medium,中頻度,False
234,business,業務部門,executive,役員,medium,中頻度,False
235,it,IT部門,manager,マネージャー,high,高頻度,False
236,it,IT部門,leader,リーダー,low,低頻度,False
237,business,業務部門,manager,マネージャー,high,高頻度,False
238,finance,経理財務部門,executive,役員,high,高頻度,False
239,business,業務部門,staff,一般社員,medium,中頻度,True
240,sales,営業部門,executive,役員,medium,中頻度,False
241,sales,営業部門,executive,役員,medium,中頻度,False
242,it,IT部門,staff,一般社員,medium,中頻度,True
243,sales,営業部門,manager,マネージャー,high,高頻度,False
244,it,IT部門,leader,リーダー,medium,中頻度,True
245,business,業務部門,executive,役員,low,低頻度,True
246,business,業務部門,executive,役員,high,高頻度,False
247,logistics,物流部門,leader,リーダー,medium,中頻度,True
248,logistics,物流部門,executive,役員,low,低頻度,True
249,business,業務部門,leader,リーダー,medium,中頻度,True
250,it,IT部門,leader,リーダー,low,低頻度,True
251,business,業務部門,leader,リーダー,medium,中頻度,False
252,business,業務部門,staff,一般社員,medium,中頻度,True
253,finance,経理財務部門,manager,マネージャー,high,高頻度,False
254,business,業務部門,manager,マネージャー,medium,中頻度,True
255,sales,営業部門,specialist,スペシャリスト,low,低頻度,True
256,it,IT部門,staff,一般社員,low,低頻度,True
257,finance,経理財務部門,specialist,スペシャリスト,high,高頻度,True
258,logistics,物流部門,manager,マネージャー,medium,中頻度,False
259,hr,人事部門,manager,マネージャー,high,高頻度,False
260,it,IT部門,manager,マネージャー,medium,中頻度,True
261,sales,営業部門,executive,役員,high,高頻度,True
262,it,IT部門,specialist,スペシャリスト,medium,中頻度,False
263,logistics,物流部門,staff,一般社員,medium,中頻度,True
264,sales,営業部門,specialist,スペシャリスト,high,高頻度,True
265,sales,営業部門,manager,マネージャー,high,高頻度,True
266,hr,人事部門,staff,一般社員,high,高頻度,False
267,it,IT部門,specialist,スペシャリスト,high,高頻度,False
268,hr,人事部門,manager,マネージャー,medium,中頻度,False
269,hr,人事部門,manager,マネージャー,medium,中頻度,True
270,it,IT部門,staff,一般社員,low,低頻度,True
271,business,業務部門,leader,リーダー,medium,中頻度,False
272,business,業務部門,staff,一般社員,high,高頻度,False
273,logistics,物流部門,leader,リーダー,high,高頻度,False
274,hr,人事部門,executive,役員,medium,中頻度,False
275,finance,経理財務部門,staff,一般社員,low,低頻度,True
276,hr,人事部門,leader,リーダー,low,低頻度,False
277,hr,人事部門,specialist,スペシャリスト,medium,中頻度,True
278,hr,人事部門,manager,マネージャー,high,高頻度,False
279,logistics,物流部門,executive,役員,high,高頻度,True
280,business,業務部門,staff,一般社員,medium,中頻度,False
281,logistics,物流部門,leader,リーダー,low,低頻度,False
282,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,False
283,logistics,物流部門,leader,リーダー,medium,中頻度,False
284,business,業務部門,staff,一般社員,medium,中頻度,True
285,business,業務部門,leader,リーダー,medium,中頻度,False
286,hr,人事部門,staff,一般社員,high,高頻度,True
287,logistics,物流部門,leader,リーダー,high,高頻度,True
288,finance,経理財務部門,manager,マネージャー,medium,中頻度,True
289,business,業務部門,staff,一般社員,low,低頻度,True
290,it,IT部門,staff,一般社員,medium,中頻度,False
291,it,IT部門,executive,役員,high,高頻度,True
292,it,IT部門,manager,マネージャー,high,高頻度,True
293,sales,営業部門,staff,一般社員,low,低頻度,True
294,hr,人事部門,specialist,スペシャリスト,medium,中頻度,False
295,it,IT部門,leader,リーダー,high,高頻度,False
296,hr,人事部門,specialist,スペシャリスト,high,高頻度,False
297,it,IT部門,leader,リーダー,medium,中頻度,False
298,finance,経理財務部門,leader,リーダー,medium,中頻度,True
299,hr,人事部門,executive,役員,low,低頻度,True
300,it,IT部門,staff,一般社員,low,低頻度,False
301,business,業務部門,leader,リーダー,low,低頻度,True
302,hr,人事部門,executive,役員,medium,中頻度,True
303,sales,営業部門,specialist,スペシャリスト,medium,中頻度,True
304,business,業務部門,executive,役員,low,低頻度,False
305,business,業務部門,specialist,スペシャリスト,high,高頻度,False
306,logistics,物流部門,staff,一般社員,high,高頻度,True
307,sales,営業部門,leader,リーダー,medium,中頻度,False
308,business,業務部門,manager,マネージャー,high,高頻度,False
309,business,業務部門,specialist,スペシャリスト,medium,中頻度,False
310,it,IT部門,leader,リーダー,low,低頻度,False
311,it,IT部門,manager,マネージャー,medium,中頻度,False
312,hr,人事部門,manager,マネージャー,medium,中頻度,True
313,hr,人事部門,specialist,スペシャリスト,medium,中頻度,False
314,hr,人事部門,leader,リーダー,high,高頻度,True
315,it,IT部門,manager,マネージャー,medium,中頻度,True
316,hr,人事部門,executive,役員,high,高頻度,False
317,business,業務部門,executive,役員,low,低頻度,True
318,it,IT部門,leader,リーダー,low,低頻度,True
319,hr,人事部門,staff,一般社員,high,高頻度,True
320,business,業務部門,executive,役員,medium,中頻度,False
321,hr,人事部門,specialist,スペシャリスト,low,低頻度,False
322,finance,経理財務部門,leader,リーダー,medium,中頻度,True
323,hr,人事部門,manager,マネージャー,high,高頻度,False
324,finance,経理財務部門,executive,役員,medium,中頻度,False
325,hr,人事部門,leader,リーダー,low,低頻度,False
326,logistics,物流部門,leader,リーダー,medium,中頻度,False
327,logistics,物流部門,staff,一般社員,low,低頻度,True
328,sales,営業部門,manager,マネージャー,medium,中頻度,True
329,logistics,物流部門,manager,マネージャー,low,低頻度,False
330,logistics,物流部門,manager,マネージャー,low,低頻度,False
331,hr,人事部門,specialist,スペシャリスト,low,低頻度,True
332,it,IT部門,leader,リーダー,high,高頻度,True
333,it,IT部門,specialist,スペシャリスト,high,高頻度,False
334,finance,経理財務部門,specialist,スペシャリスト,high,高頻度,True
335,it,IT部門,leader,リーダー,medium,中頻度,False
336,business,業務部門,manager,マネージャー,medium,中頻度,False
337,sales,営業部門,leader,リーダー,medium,中頻度,True
338,logistics,物流部門,staff,一般社員,low,低頻度,True
339,sales,営業部門,leader,リーダー,medium,中頻度,False
340,business,業務部門,leader,リーダー,high,高頻度,False
341,logistics,物流部門,executive,役員,high,高頻度,True
342,finance,経理財務部門,staff,一般社員,low,低頻度,False
343,business,業務部門,executive,役員,low,低頻度,True
344,business,業務部門,manager,マネージャー,medium,中頻度,False
345,sales,営業部門,manager,マネージャー,low,低頻度,True
346,hr,人事部門,staff,一般社員,high,高頻度,True
347,sales,営業部門,specialist,スペシャリスト,high,高頻度,True
348,sales,営業部門,leader,リーダー,high,高頻度,False
349,it,IT部門,executive,役員,high,高頻度,False
350,business,業務部門,staff,一般社員,low,低頻度,True
351,sales,営業部門,executive,役員,medium,中頻度,False
352,business,業務部門,leader,リーダー,medium,中頻度,True
353,it,IT部門,specialist,スペシャリスト,low,低頻度,True
354,business,業務部門,executive,役員,medium,中頻度,False
355,sales,営業部門,staff,一般社員,high,高頻度,False
356,business,業務部門,leader,リーダー,low,低頻度,True
357,logistics,物流部門,leader,リーダー,low,低頻度,False
358,it,IT部門,specialist,スペシャリスト,high,高頻度,False
359,hr,人事部門,staff,一般社員,medium,中頻度,True
360,business,業務部門,leader,リーダー,low,低頻度,True
361,sales,営業部門,executive,役員,medium,中頻度,False
362,it,IT部門,manager,マネージャー,high,高頻度,True
363,sales,営業部門,staff,一般社員,medium,中頻度,True
364,sales,営業部門,executive,役員,low,低頻度,False
365,business,業務部門,specialist,スペシャリスト,low,低頻度,True
366,sales,営業部門,specialist,スペシャリスト,medium,中頻度,True
367,business,業務部門,leader,リーダー,low,低頻度,False
368,hr,人事部門,specialist,スペシャリスト,medium,中頻度,False
369,logistics,物流部門,manager,マネージャー,low,低頻度,True
370,sales,営業部門,executive,役員,low,低頻度,True
371,sales,営業部門,staff,一般社員,low,低頻度,False
372,sales,営業部門,leader,リーダー,medium,中頻度,False
373,finance,経理財務部門,staff,一般社員,low,低頻度,False
374,finance,経理財務部門,executive,役員,low,低頻度,False
375,it,IT部門,manager,マネージャー,medium,中頻度,True
376,logistics,物流部門,executive,役員,medium,中頻度,False
377,logistics,物流部門,executive,役員,high,高頻度,False
378,finance,経理財務部門,leader,リーダー,medium,中頻度,True
379,it,IT部門,staff,一般社員,medium,中頻度,False
380,finance,経理財務部門,executive,役員,low,低頻度,True
381,hr,人事部門,executive,役員,high,高頻度,False
382,it,IT部門,manager,マネージャー,medium,中頻度,False
383,logistics,物流部門,specialist,スペシャリスト,low,低頻度,False
384,logistics,物流部門,manager,マネージャー,medium,中頻度,True
385,finance,経理財務部門,staff,一般社員,low,低頻度,True
386,hr,人事部門,staff,一般社員,low,低頻度,False
387,finance,経理財務部門,leader,リーダー,low,低頻度,True
388,business,業務部門,specialist,スペシャリスト,high,高頻度,True
389,business,業務部門,staff,一般社員,low,低頻度,True
390,hr,人事部門,specialist,スペシャリスト,medium,中頻度,True
391,sales,営業部門,manager,マネージャー,medium,中頻度,True
392,sales,営業部門,staff,一般社員,low,低頻度,True
393,business,業務部門,executive,役員,low,低頻度,False
394,business,業務部門,staff,一般社員,low,低頻度,False
395,sales,営業部門,specialist,スペシャリスト,high,高頻度,True
396,it,IT部門,staff,一般社員,low,低頻度,False
397,sales,営業部門,leader,リーダー,high,高頻度,False
398,finance,経理財務部門,executive,役員,low,低頻度,False
399,it,IT部門,leader,リーダー,medium,中頻度,False
400,finance,経理財務部門,manager,マネージャー,high,高頻度,True
401,business,業務部門,staff,一般社員,low,低頻度,False
402,it,IT部門,staff,一般社員,low,低頻度,False
403,finance,経理財務部門,manager,マネージャー,low,低頻度,True
404,finance,経理財務部門,leader,リーダー,low,低頻度,True
405,it,IT部門,executive,役員,medium,中頻度,False
406,hr,人事部門,leader,リーダー,high,高頻度,False
407,sales,営業部門,specialist,スペシャリスト,low,低頻度,False
408,logistics,物流部門,leader,リーダー,high,高頻度,False
409,finance,経理財務部門,executive,役員,high,高頻度,False
410,sales,営業部門,staff,一般社員,low,低頻度,False
411,logistics,物流部門,leader,リーダー,low,低頻度,True
412,sales,営業部門,manager,マネージャー,high,高頻度,False
413,business,業務部門,executive,役員,high,高頻度,False
414,logistics,物流部門,staff,一般社員,high,高頻度,True
415,sales,営業部門,executive,役員,medium,中頻度,True
416,finance,経理財務部門,manager,マネージャー,medium,中頻度,True
417,logistics,物流部門,specialist,スペシャリスト,medium,中頻度,True
418,business,業務部門,executive,役員,high,高頻度,False
419,it,IT部門,executive,役員,medium,中頻度,False
420,finance,経理財務部門,leader,リーダー,low,低頻度,False
421,business,業務部門,manager,マネージャー,high,高頻度,False
422,business,業務部門,manager,マネージャー,medium,中頻度,False
423,logistics,物流部門,specialist,スペシャリスト,low,低頻度,False
424,sales,営業部門,manager,マネージャー,low,低頻度,True
425,it,IT部門,executive,役員,medium,中頻度,False
426,finance,経理財務部門,specialist,スペシャリスト,low,低頻度,True
427,finance,経理財務部門,manager,マネージャー,low,低頻度,True
428,sales,営業部門,specialist,スペシャリスト,high,高頻度,False
429,it,IT部門,manager,マネージャー,low,低頻度,True
430,logistics,物流部門,manager,マネージャー,high,高頻度,False
431,finance,経理財務部門,leader,リーダー,low,低頻度,True
432,it,IT部門,manager,マネージャー,high,高頻度,False
433,logistics,物流部門,specialist,スペシャリスト,low,低頻度,True
434,logistics,物流部門,executive,役員,medium,中頻度,False
435,finance,経理財務部門,leader,リーダー,low,低頻度,False
436,sales,営業部門,manager,マネージャー,medium,中頻度,False
437,hr,人事部門,manager,マネージャー,low,低頻度,False
438,finance,経理財務部門,specialist,スペシャリスト,medium,中頻度,False
439,business,業務部門,leader,リーダー,medium,中頻度,True
440,business,業務部門,manager,マネージャー,high,高頻度,True
441,logistics,物流部門,executive,役員,medium,中頻度,True
442,hr,人事部門,executive,役員,low,低頻度,False
443,finance,経理財務部門,manager,マネージャー,medium,中頻度,True
444,business,業務部門,executive,役員,low,低頻度,False
445,business,業務部門,leader,リーダー,medium,中頻度,False
446,finance,経理財務部門,manager,マネージャー,low,低頻度,True
447,it,IT部門,specialist,スペシャリスト,low,低頻度,True
448,logistics,物流部門,leader,リーダー,low,低頻度,False
449,finance,経理財務部門,executive,役員,low,低頻度,True
450,it,IT部門,manager,マネージャー,low,低頻度,False
451,logistics,物流部門,leader,リーダー,medium,中頻度,False
452,hr,人事部門,executive,役員,low,低頻度,False
453,sales,営業部門,manager,マネージャー,medium,中頻度,False
454,logistics,物流部門,staff,一般社員,high,高頻度,False
455,hr,人事部門,specialist,スペシャリスト,high,高頻度,True
456,sales,営業部門,executive,役員,medium,中頻度,True
457,business,業務部門,executive,役員,low,低頻度,False
458,business,業務部門,staff,一般社員,medium,中頻度,False
459,business,業務部門,staff,一般社員,high,高頻度,True
460,logistics,物流部門,leader,リーダー,medium,中頻度,True
461,it,IT部門,specialist,スペシャリスト,medium,中頻度,False
462,sales,営業部門,specialist,スペシャリスト,low,低頻度,True
463,business,業務部門,executive,役員,high,高頻度,False
464,finance,経理財務部門,staff,一般社員,low,低頻度,True
465,sales,営業部門,specialist,スペシャリスト,low,低頻度,False
466,sales,営業部門,manager,マネージャー,medium,中頻度,True
467,it,IT部門,specialist,スペシャリスト,medium,中頻度,False
468,hr,人事部門,executive,役員,medium,中頻度,True
469,it,IT部門,specialist,スペシャリスト,medium,中頻度,True
470,business,業務部門,leader,リーダー,low,低頻度,False
471,finance,経理財務部門,staff,一般社員,low,低頻度,True
472,finance,経理財務部門,executive,役員,medium,中頻度,False
473,business,業務部門,executive,役員,medium,中頻度,True
474,finance,経理財務部門,staff,一般社員,high,高頻度,False
475,it,IT部門,staff,一般社員,low,低頻度,True
476,logistics,物流部門,staff,一般社員,low,低頻度,False
477,it,IT部門,executive,役員,low,低頻度,True
478,logistics,物流部門,staff,一般社員,medium,中頻度,False
479,business,業務部門,staff,一般社員,medium,中頻度,True
480,finance,経理財務部門,executive,役員,medium,中頻度,False
481,sales,営業部門,executive,役員,high,高頻度,False
482,hr,人事部門,leader,リーダー,medium,中頻度,False
483,sales,営業部門,specialist,スペシャリスト,high,高頻度,True
484,logistics,物流部門,manager,マネージャー,medium,中頻度,False
485,it,IT部門,executive,役員,low,低頻度,True
486,it,IT部門,manager,マネージャー,high,高頻度,False
487,it,IT部門,leader,リーダー,medium,中頻度,True
488,it,IT部門,specialist,スペシャリスト,medium,中頻度,False
489,hr,人事部門,specialist,スペシャリスト,low,低頻度,True
490,business,業務部門,specialist,スペシャリスト,medium,中頻度,True
491,it,IT部門,leader,リーダー,low,低頻度,False
492,logistics,物流部門,staff,一般社員,medium,中頻度,True
493,finance,経理財務部門,specialist,スペシャリスト,high,高頻度,True
494,hr,人事部門,specialist,スペシャリスト,high,高頻度,False
495,logistics,物流部門,leader,リーダー,low,低頻度,True
496,logistics,物流部門,staff,一般社員,medium,中頻度,True
